"ID","Name","RA","DEC","Type","Redshift","Host Name","Host Redshift","Discovering Group/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Ext. catalog/s"
"26732","AT 2018byl","14:14:42.03","+16:58:07.15","","","","","ATLAS","","ATLAS","ATLAS18pja","ATLAS1 - ACAM1","","1","1","","18.234","cyan-ATLAS","2018-05-15 07:42:14","ATLAS_Bot1",""
"26731","AT 2018byk","17:59:23.90","+41:58:32.37","","","","","ATLAS","","ATLAS","ATLAS18pkm","ATLAS1 - ACAM1","","1","1","","19.227","cyan-ATLAS","2018-05-18 12:30:14","ATLAS_Bot1",""
"26730","AT 2018byj","16:21:59.53","+17:41:55.64","","","","","ATLAS","","ATLAS","ATLAS18pqf","ATLAS1 - ACAM1","","1","1","","19.664","cyan-ATLAS","2018-05-21 11:51:21","ATLAS_Bot1",""
"26729","AT 2018byi","14:15:19.12","+16:53:31.65","","","","","ATLAS","","ATLAS","ATLAS18pqt","ATLAS1 - ACAM1","","1","1","","18.567","orange-ATLAS","2018-05-23 09:43:12","ATLAS_Bot1",""
"26728","AT 2018byh","17:22:06.70","+35:20:10.36","","","","","ATLAS","","ATLAS","ATLAS18pqr","ATLAS1 - ACAM1","","1","1","","19.548","cyan-ATLAS","2018-05-21 12:24:28","ATLAS_Bot1",""
"26727","AT 2018byg","12:23:21.56","+46:36:08.18","","","","","ATLAS","","ATLAS","ATLAS18pqq","ATLAS1 - ACAM1","","1","1","","18.917","orange-ATLAS","2018-05-22 10:09:07","ATLAS_Bot1",""
"26726","AT 2018byf","18:58:14.80","-33:58:09.05","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bhj","Gaia - Gaia-photometric","","1","1","","17.56","G-Gaia","2018-05-19 03:36:00","Gaia_Bot1",""
"26725","AT 2018bye","18:43:46.29","-43:49:16.72","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bhi","Gaia - Gaia-photometric","","1","1","","19.53","G-Gaia","2018-05-17 07:58:04","Gaia_Bot1",""
"26724","AT 2018byd","07:54:55.28","-50:02:09.89","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bhh","Gaia - Gaia-photometric","","1","1","","17.51","G-Gaia","2018-05-18 15:17:16","Gaia_Bot1",""
"26723","AT 2018byc","10:31:30.68","-76:27:07.85","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bhg","Gaia - Gaia-photometric","","1","1","","18.78","G-Gaia","2018-05-19 08:51:21","Gaia_Bot1",""
"26722","AT 2018byb","07:11:27.76","+04:51:10.58","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bhf","Gaia - Gaia-photometric","","1","1","","18.63","G-Gaia","2018-05-18 10:07:40","Gaia_Bot1",""
"26721","AT 2018bya","19:13:35.57","+56:49:20.46","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bhe","Gaia - Gaia-photometric","","1","1","","18.78","G-Gaia","2018-05-16 19:56:38","Gaia_Bot1",""
"26720","AT 2018bxz","06:40:31.39","-34:24:25.92","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bhd","Gaia - Gaia-photometric","","1","1","","18.74","G-Gaia","2018-05-15 15:28:48","Gaia_Bot1",""
"26719","AT 2018bxy","19:11:08.84","+00:30:39.10","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bhc","Gaia - Gaia-photometric","","1","1","","18.51","G-Gaia","2018-05-18 07:12:00","Gaia_Bot1",""
