id,ra,dec,transient_label,survey,host_label,offset,redshift,transient_mag,u,g,r,i,z
37643350200398711618,163.35283,28.85755,SN,TNS,1,0.0108503623623421,0.248072,19.51,23.09959,21.95112,21.31173,21.15282,21.05624
68215501341287158089,214.69892,24.94084,SN,TNS,1,0.0216111168368248,0.027122,16.05,16.09525,14.71732,13.8754,13.34824,12.93697
72826324633625000177,154.37037,22.41597,SN,TNS,1,0.0573430656942401,0.047053,20.26,18.94911,18.01961,17.66491,17.43864,17.30586
51889718298863044411,11.79146,37.58805,SN,TNS,1,0.0434978116062955,0.070629,18.756,21.42879,20.34677,20.1357,19.89239,19.99953
43116555588635014584,218.06379,26.32556,SN,TNS,1,0.0671913973844475,0.025572,16.58,17.33237,15.86329,15.4497,15.20312,15.08485
64811713344407783757,142.22987,49.23814,SN,TNS,1,0.0422618915970518,0.03113,16.4,16.49084,14.86361,14.07623,13.64087,13.27833
72569441626453762079,155.31617,23.64813,SN,TNS,1,0.00653714138232155,0.388883,20.23,24.00609,23.76616,22.32026,22.08452,21.76096
20648896138311342717,200.57842,-1.88111,SN,TNS,1,0.0169244491110258,0.057241,20.775,18.62291,17.55638,17.18903,16.90415,16.74651
95079965674703628692,39.01067,43.47209,SN,TNS,0,0.0559479917068698,0,17.977,21.69532,22.83302,23.27895,24.36182,22.6326
88691594496653164086,137.39608,33.12281,SN,TNS,0,0.047768056829033,0,19.1,24.09358,21.52121,22.84132,23.02444,22.8269
22061322042125287189,139.11542,3.59036,SN,TNS,1,0.0394569616275528,0.134401,19.9,21.48857,19.73603,18.90804,18.35959,18.00608
60136809298910889385,53.58233,39.59293,SN,TNS,1,0.0629808875315423,0.021208,18.3,16.63485,15.32727,14.57551,14.19733,13.85352
16320932017078745256,25.32725,-0.21041,SN,TNS,1,0.00538224135148463,0.037137,16.8,17.83071,16.49832,15.97701,15.6898,15.50842
91705772426831100916,321.41946,-2.22484,SN,TNS,0,0.0437636274111118,0,19.23,23.10459,21.06257,19.65742,18.80658,18.30339
58413257996840242398,0.77967,-1.91169,SN,TNS,1,0.00678354789753796,-9999,16.53,22.17128,21.6844,21.90153,24.28524,22.8269
90299474658908036041,142.65033,11.49824,SN,TNS,1,0.0414909625714489,0.094474,19.41,19.58989,18.23925,17.59743,17.25523,17.05897
64944820639227683668,207.362,26.46192,SN,TNS,1,0.0289002531117594,0.073066,18.3,18.68204,16.7597,15.86666,15.41285,15.08702
25067514660283167831,40.95171,32.52603,SN,TNS,0,0.0710800379171284,0,15.4,18.72283,17.45053,16.96397,16.72726,16.62345
71017017744235102877,351.20429,15.28111,SN,TNS,1,0.018271810477897,-9999,17.3,21.32001,21.05354,20.99097,23.03263,21.2546
60625681256418987396,33.97692,4.19478,SN,TNS,0,0.0309788962979673,0,20.09,22.49387,22.28775,22.76916,22.52501,21.70059
76218335973071293963,168.37779,29.66751,SN,TNS,1,0.0816679946563287,0.069813,20.14,18.72766,17.10632,16.28806,15.8218,15.47359
55735205025763639574,7.6465,1.51677,SN,TNS,1,0.015697086990052,0.115906,18.703,20.46252,19.47748,19.06091,18.86176,18.85108
38126009584971829077,265.5675,50.48875,SN,TNS,1,0.00992478311563283,0.035197,18.156,16.77046,15.51304,15.03678,14.73173,14.51759
1949905525417542645,170.94117,-1.10589,SN,TNS,1,0.0104629142488462,0.238353,15.9,20.86743,19.79138,19.83792,19.73799,19.17721
74690241180527124119,136.66475,19.33827,SN,TNS,1,0.0379181478014627,0.023727,15.15,16.95758,15.39187,15.13344,14.92594,14.85831
96338642653929315571,287.65554,37.65473,SN,TNS,1,0.0433198422100815,0.028718,16.9,17.19961,15.32455,14.32576,13.79163,13.3621
8540926498423586017,171.40942,7.33356,SN,TNS,1,0.0579640419062689,0.050212,19.84,18.14396,16.54515,15.70992,15.30618,14.96352
46821430277199927179,47.42712,40.97481,SN,TNS,1,0.0565402667294071,0.031641,17.6,16.71845,14.94288,14.0649,13.63974,13.33628
84022006105557050121,353.60537,-6.57841,SN,TNS,1,0.0481675671324365,0.080678,17.93,19.77501,18.80389,18.41199,18.35412,18.29408
45303006328850182722,80.74962,-0.13817,SN,TNS,0,0.034859889819651,0,18.1,22.89874,22.88614,24.80202,24.3618,22.82689
72989793133152254921,128.93942,28.27028,SN,TNS,1,0.0267731884893706,0.08008,18.42,20.74641,19.36987,18.977,18.69658,18.63811
45645077795214860508,210.54075,22.87234,SN,TNS,1,0.0544307749360662,0.063373,18.61,20.35679,18.87241,18.47715,18.2059,18.06951
89668455800786719830,83.03908,-2.0733,SN,TNS,0,0.0994822568671196,0,17.0,24.7107,24.14829,22.43171,22.21778,21.9887
