id,ra,dec,transient_label,host_label,offset,redshift,transient_mag,transient_filter,u,g,r,i,z
26624,215.18192,13.69576,SN,GALAXY,0.162458932791404,14.77933,17.9,g-Sloan,0.018002,16.42517,15.35896,15.0454,14.88777
26650,213.57675,10.67821,SN,GALAXY,0.0588660593123986,15.92727,17.6,V-Johnson,0.025562,17.90862,16.78251,16.34556,16.13886
26605,210.149,-7.73504,SN,GALAXY,0.0979669237327872,14.90403,19.083,orange-ATLAS,0.080214,18.78298,16.60694,15.67673,15.2535
26599,249.24025,63.96993,SN,GALAXY,0.0727804208552212,20.77806,18.67,cyan-ATLAS,0.050362,23.90625,20.8244,20.50433,20.44112
26585,257.236,27.39807,AGN,GALAXY,0.00524818537821266,15.58177,18.33,r-ZTF,0.072028,19.21676,17.21658,16.30145,15.89216
26598,217.12921,37.06777,SN,GALAXY,0.0175500309841951,16.05625,18.944,orange-ATLAS,0.032457,18.09976,16.96095,16.52542,16.29518
26581,291.91083,61.94683,SN,GALAXY,0.0334202245435567,14.97725,17.2,g-Sloan,0.034245,18.04724,16.37993,15.68398,15.31369
26580,248.92817,4.82591,SN,GALAXY,0.0521462104156457,19.22691,19.019,orange-ATLAS,0.102082,21.75774,20.09813,19.58306,19.40354
26577,224.3695,5.84253,SN,GALAXY,0.14992534394267,14.32605,18.6,Clear-,0.039814,17.81327,15.87806,15.05397,14.64639
26569,152.61712,2.23049,SN,STAR,0.0425921033485376,21.25437,17.9,g-Sloan,0,21.95307,21.40727,20.99095,21.21075
26505,113.31633,-11.23403,SN,STAR,1.33801141367825,22.66858,17.86,orange-ATLAS,0,24.86677,23.20276,22.28143,21.46737
26258,251.77379,-7.31558,VS,GALAXY,0.0463961288457931,22.8186,18.139,orange-ATLAS,0.007601,25.84639,25.12143,22.95969,24.55067
26244,167.45933,28.97138,SN,GALAXY,0.0133027848320792,14.26085,18.89,r-ZTF,0.03884,17.61127,15.72726,14.92329,14.54517
26237,188.93471,-0.22111,SN,GALAXY,0.237593050418377,15.31433,18.281,orange-ATLAS,0.025069,17.5411,16.21349,15.74124,15.50862
26225,248.56567,26.88957,SN,GALAXY,0.0737701549368743,20.69531,19.164,orange-ATLAS,0.420973,24.55909,23.15154,21.65093,20.99854
26222,224.76904,19.5872,SN,STAR,0.00283907320231185,22.8269,18.25,orange-ATLAS,0,22.12241,25.11438,24.31181,24.3618
26226,246.62421,17.32059,SN,GALAXY,0.0283358130682521,17.45621,19.313,orange-ATLAS,0.124297,21.10047,19.34555,18.40186,17.88568
26208,231.85508,-0.44789,SN,STAR,0.0163243788634815,20.3789,17.9,r-Sloan,0,25.50277,24.07784,22.05728,21.14067
26209,251.60537,25.42146,SN,GALAXY,0.00340716402888975,16.44994,17.8,G-Gaia,0.075588,19.76712,18.04527,17.19778,16.77378
26202,165.62621,55.59883,SN,GALAXY,0.0208092345288691,19.57391,18.26,G-Gaia,0.104186,20.87276,20.01687,19.7222,19.48737
26206,222.40958,25.3702,SN,GALAXY,0.020507994625616,20.25617,18.0,V-crts-CRTS,0.411397,24.29706,22.47868,21.23506,20.72147
26185,166.06662,50.03055,SN,STAR,0.0814078539515618,22.2063,18.591,orange-ATLAS,0,22.52836,22.49488,22.11951,22.18065
26183,128.47783,55.5415,SN,STAR,0.0672059056216974,21.43059,17.64,orange-ATLAS,0,20.95478,20.69534,20.80452,21.04869
26182,187.32329,6.34114,SN,GALAXY,0.00988826891699952,17.99882,18.76,r-ZTF,0.128719,21.67603,19.74373,18.81956,18.36445
26178,199.52763,27.87339,SN,GALAXY,0.0142224509044688,17.43182,20.04,r-ZTF,0.082104,19.07353,18.1646,17.84087,17.53318
26174,208.32979,-4.85885,SN,GALAXY,0.0573674063454009,16.56257,19.826,i-Sloan,0.068163,19.21115,17.81734,17.20933,16.82898
26172,166.19792,-15.63311,SN,GALAXY,0.164168922252698,14.22228,18.2,g-Sloan,0.061387,17.97268,15.98542,15.03979,14.57042
26170,201.15925,-2.58111,SN,GALAXY,0.027804473794824,17.78604,22.444,g-Sloan,0.07268,19.80075,18.54429,18.13777,17.87123
26162,155.67162,15.93892,SN,GALAXY,0.0324707763746711,14.01378,17.0,g-Sloan,0.035127,17.05551,15.41455,14.66936,14.29824
26159,195.48075,7.60169,SN,GALAXY,0.199799450358352,14.3603,18.685,orange-ATLAS,0.035535,17.37522,15.86576,15.0854,14.68481
26157,350.74308,-1.02789,SN,GALAXY,0.0151405820989821,17.22971,16.9,g-Sloan,0.072922,19.27048,18.05561,17.62726,17.32285
26158,217.25217,17.32517,SN,STAR,0.111701752665604,22.01697,18.083,orange-ATLAS,0,24.60762,24.97237,24.32092,22.32541
26137,233.888,12.5679,SN,GALAXY,0.0287074122072244,16.18166,18.6,Clear-,0.032003,18.15536,16.93082,16.50743,16.27254
26136,142.84583,17.80831,SN,GALAXY,0.0384904396528279,18.42103,17.4,g-Sloan,0.068108,20.5851,19.2461,18.86329,18.58203
26115,231.65958,28.86628,SN,GALAXY,0.0127624872887845,16.52267,18.56,G-Gaia,0.096086,19.10822,17.80843,17.16231,16.76826
