id,ra,dec,transient_label,host_label_1,host_label_2,offset_1,offset_2,redshift_1,redshift_2,u_1,g_1,r_1,i_1,z_1,u_2,g_2,r_2,i_2,z_2
43762958392948329763,28.18475,-3.39672,SN,0,1,0.00140240791850342,0.0718493437477642,0,0.235658,23.56898,23.0052,23.1587,23.49277,22.8269,17.88999,17.42067,17.36752,17.42484,17.50192
92292834586452921575,243.45092,55.60853,SN,1,0,0.0247805204674749,0.141819994278617,0.429874,0,22.5862,21.94476,20.77175,20.39796,20.33961,23.95629,23.4913,22.87579,22.86611,21.87338
92899058276233152269,351.02137,16.66414,SN,1,1,0.131992202581974,0.391099748094122,0.053113,0.327082,17.96747,16.31886,15.5149,15.07655,14.74773,26.17555,20.88431,20.23406,19.87314,19.22094
98134259441358032323,173.96167,34.28408,SN,1,0,0.0113518229111828,0.121609271380721,-9999,0,20.88887,20.75708,20.98327,21.37508,20.87087,22.05783,22.595,24.80205,24.3618,22.82689
32148515521473622663,350.83579,16.79481,SN,1,1,0.031241765735919,0.125481775706019,0.050829,0.602967,19.10024,17.90241,17.45172,17.19541,16.99523,22.90376,23.14009,22.13856,21.42803,21.05091
57519927983420904962,27.44875,31.74711,SN,0,1,0.135331338038054,0.213546480700973,0,-9999,25.35769,25.22289,25.21632,22.59294,22.60759,19.22243,18.58855,18.19346,18.1862,22.65248
51724919241142005424,37.71683,22.47942,SN,1,1,0.225650117212627,0.45848604005762,0.068147,0.302173,19.52739,17.41092,16.50144,16.05141,15.75045,25.62172,22.07575,21.33925,20.72712,20.289
18925901458142573896,242.83087,53.6375,SN,1,0,0.0666514697330443,0.209476104289764,0.140919,0,20.38073,18.67191,17.69274,17.24523,16.9278,20.6629,18.17136,17.00811,16.51566,16.24543
77240690788037323644,253.297,23.96525,SN,1,1,0.00699132843212456,0.275966821357358,0.044728,0.425524,19.30486,17.62403,16.88342,16.51304,16.24704,23.57292,22.6803,20.88276,20.16998,19.66101
67984710796833006398,341.2595,34.00417,SN,0,0,0.209387535048333,0.21656752588063,0,0,24.43652,25.26715,22.76865,22.83901,20.77692,23.8975,24.57592,22.68222,22.39741,20.7834
27695615029132077726,182.42421,56.51983,SN,0,0,0.092597014631364,0.194868642686197,0,0,23.02051,21.95293,22.10809,22.25321,22.01108,21.56762,21.04746,21.5039,22.58519,22.82691
88738153850258926770,145.31479,35.88817,SN,0,1,0.0555194762073991,0.0957233124912694,0,0.194846,24.25267,22.93204,23.89527,22.57474,21.83847,21.48158,20.94254,21.13802,21.20617,21.43686
94937496679398667983,344.04933,3.9265,SN,0,1,0.09943373112447,0.131824393563971,0,0.015318,21.29429,20.90213,20.83134,21.08142,20.93392,15.20537,14.11288,13.62252,13.40161,13.21566
64154960025744301136,356.05342,7.87322,SN,1,1,0.0130594362598515,0.323992223958749,0.247125,0.536173,23.1319,22.03461,21.39331,20.93736,20.61232,24.63083,24.42916,23.09421,22.49732,21.7932
88001445672568301963,29.72371,5.59039,SN,0,1,0.0463416288154439,0.0629733734012117,0,0.122072,22.4317,21.2766,20.5782,20.1632,20.18309,23.053,20.52233,19.97465,19.69148,19.50055
14522229018306018687,60.74033,17.94075,SN,1,1,0.0229905827319747,0.216018462029515,-9999,0.205311,20.98082,20.17804,19.26809,19.48985,18.27738,25.32242,22.97226,21.52287,20.97752,20.32941
98803052499979431163,243.93692,31.96325,SN,1,0,0.0422021369783143,0.0642639537837928,-9999,0,18.13242,25.12342,24.6891,24.20234,22.64953,24.63467,21.9271,21.59672,21.79848,22.36504
31654730600439268590,241.70333,54.98094,SN,1,1,0.0807103815183911,0.142706664580026,0.393474,0.4846,23.27906,23.72958,21.46491,21.09986,21.00092,22.54834,22.96809,21.62431,21.47814,20.93006
52840744093885179745,308.07708,-19.73322,SN,0,0,0.725322495599632,0.771437279750366,0,0,25.66159,23.89078,24.63298,22.08677,22.10214,24.68292,20.66384,19.26715,18.11776,17.46565
41760557741672529690,173.75725,16.12133,SN,1,1,0.075566586040857,0.091926641894187,-9999,0.054055,20.28465,25.16682,24.73981,24.48015,22.70256,19.70709,17.95065,17.51089,17.23327,17.093
63755982862185371757,41.42242,-8.20836,SN,0,0,0.193097941282026,0.273324223591881,0,0,26.32137,23.51262,21.70763,21.25105,21.04205,23.71767,20.80373,19.31432,18.20867,17.64279
91574809419786231077,189.48896,34.01917,SN,1,0,0.121756532705105,0.173098372337311,-9999,0,17.22533,16.29495,16.17872,16.64518,17.09666,21.91609,20.87571,20.66385,20.58648,20.5227
44282996894978299236,254.12733,27.97589,SN,1,0,0.0995598701056094,0.239081536878528,0.032669,0,16.90916,14.70487,13.76997,13.23039,12.85857,24.75087,25.11437,24.80183,24.3618,22.82689
93960954621009607905,159.98083,39.80303,SN,1,1,0.00261690174596279,0.0455360165794093,0.131573,0.140574,20.56758,19.11426,18.37708,17.9406,17.71765,20.85049,19.19345,18.27086,17.815,17.51851
20669769350680667390,224.75354,49.81322,SN,0,0,0.0960923589328375,0.131277109235,0,0,24.86588,24.5039,23.35446,22.53149,21.43428,24.60478,22.87396,22.53116,22.16372,22.10962
49788660580682087785,148.96479,69.67939,SN,0,1,1.9686555325566,1.97609113598949,0,0.147257,24.63468,22.65334,22.30169,23.67306,22.82691,21.37147,19.21307,18.3755,18.50245,17.72693
17006620907558556284,224.99633,1.89011,SN,0,0,0.0657898911090407,0.101596106019307,0,0,24.63466,22.09722,20.97514,20.70216,20.14348,23.60263,21.83601,21.30556,21.17873,21.13706
94182974073981799556,241.43679,56.07442,SN,1,1,0.0221157913759224,0.251241434918347,0.28959,-9999,21.47341,20.42468,19.35727,18.89263,18.55924,25.08995,22.80087,22.16597,21.63824,23.99412
82377146656373776832,179.68021,19.14894,SN,0,0,0.0309506942460617,0.0598934761349711,0,0,22.28979,21.68304,21.45699,21.18772,20.5188,24.96846,23.44347,23.00877,23.69825,22.53049
65124666649749165789,226.12487,2.3309,SN,1,1,0.0635577384163975,0.141189363932032,0.068376,0.035853,21.11078,20.58306,20.84864,21.02673,21.34681,16.07273,14.79635,14.3073,13.97874,13.78676
