ID,Name,RA,DEC,Type,Redshift,Host Name,Host Redshift,Discovering Group/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag,Discovery Mag Filter,Discovery Date (UT),Sender,Ext. catalog/s,SDSS objid,SDSS type,SDSS offset,SDSS ra,SDSS dec,SDSS redshift,SDSS u,SDSS g,SDSS r,SDSS i,SDSS z,SDSS err_u,SDSS err_g,SDSS err_r,SDSS err_i,SDSS err_z,SDSS err_redshift
1361,SN 1998bi,206.93633,2.34922,SN Ia,,Anon.           ,,,,,,,,0,1,,23.7,,1998-03-22 00:00:00,,,1237674601602810960,3,0.187022576934757,206.938680917002,2.35126900956348,0.515342,25.2002,25.47413,22.62006,21.50071,20.86595,0.9102939,0.6945996,0.2085449,0.1200873,0.2424828,0.035195
1354,SN 1998bb,205.97325,1.42603,SN Ia,,Anon.           ,,,,,,,,0,1,,24,,1998-03-22 00:00:00,,,1237671958056010541,6,0.297380167819528,205.972338708892,1.42115810828087,0,25.64258,24.52615,23.11029,21.61741,21.19699,0.6081921,0.4943293,0.3136506,0.1460056,0.2933286,0
1353,SN 1998ba,205.90383,2.32517,SN Ia,,Anon.           ,,,,,,,,0,1,,22.3,,1998-03-22 00:00:00,,,1237651736305140530,3,0.0649750893107504,205.904897908666,2.32498517632512,0.635241,23.89562,23.6586,22.64583,22.06105,22.06327,0.8938032,0.3304828,0.1953838,0.1791141,0.6572205,0.089319
1349,SN 1998ax,164.31825,-3.56644,SN Ia,,Anon.           ,,,,,,,,0,1,,22.3,,1998-03-22 00:00:00,,,1237650803199378124,6,0.128092371387975,164.317915116181,-3.56854854669378,0,24.30308,23.48672,22.4072,22.7151,21.75964,1.114167,0.3380162,0.2039837,0.3486149,0.6359854,0
1351,SN 1998az,164.34075,-3.42306,SN Ia,,Anon.           ,,,,,,,,0,1,,22.7,,1998-03-22 00:00:00,,,1237650803199378156,3,0.0480675965613967,164.341532716572,-3.42323703910141,-9999,22.01533,22.74902,21.57209,21.50958,22.45185,0.2860713,0.25466,0.1372612,0.1772663,1.199591,-9999
1350,SN 1998ay,164.33962,-3.24719,SN Ia,,Anon.           ,,,,,,,,0,1,,22.9,,1998-03-22 00:00:00,,,1237650369401324194,3,0.098726868285415,164.340700764041,-3.24843225469051,0.453114,22.60022,21.93442,21.16508,20.73464,20.29273,0.3564811,0.08277864,0.06290347,0.06540916,0.1613261,0.132297
1343,SN 1998ar,143.74525,21.71597,SN II,,NGC 2916        ,,,,,,,,0,1,,18.4,,1998-04-14 00:00:00,,,1237667430632063091,3,0.0803918645131563,143.746273667452,21.7169138266697,-9999,21.42814,21.25834,24.80201,24.36179,22.82687,0.4203825,0.1707048,3.413979,3.848174,4.062024,-9999
1342,SN 1998aq,179.10833,55.12744,SN Ia,,NGC 3982        ,,,,,,,,0,1,,14.9,,1998-04-13 00:00:00,,,1237657590858776670,6,0.0126671146107599,179.108098558115,55.1276045008589,0,21.13867,21.20048,24.13111,24.3618,22.82689,0.1337897,0.06565511,0.9683377,1.054842,0.8925497,0
1336,SN 1998ak,206.06758,-0.18036,SN Ia,,Anon.           ,,,,,,,,0,1,,23.7,,1998-03-26 00:00:00,,,1237671957519795073,3,0.204006227017427,206.066495066517,-0.183582365117613,0.375648,24.22126,22.05384,20.6519,20.13203,19.67052,1.218844,0.09108493,0.04839694,0.0468924,0.1191634,0.087901
1337,SN 1998al,205.77237,-0.42861,SN Ia,,Anon.           ,,,,,,,,0,1,,23.4,,1998-03-26 00:00:00,,,1237671956982990064,6,0.0101245095296173,205.772477470577,-0.428479905707634,0,23.26425,25.24587,22.74599,21.10088,21.03851,0.6232294,0.7073683,0.3080664,0.1059268,0.3600281,0
1338,SN 1998am,205.33908,-0.54272,SN II,,Anon.           ,,,,,,,,0,1,,23.8,,1998-03-26 00:00:00,,,1237671956446118311,6,0.196331348279826,205.342115343777,-0.541497406577743,0,24.29519,22.30653,21.84732,21.49147,21.00998,0.8589999,0.08777267,0.1041829,0.1122504,0.2295208,0
1334,SN 1998ai,205.61496,-0.11311,SN Ia,,Anon.           ,,,,,,,,0,1,,22.7,,1998-03-26 00:00:00,,,1237651504344335245,3,0.0398293271083739,205.614643874164,-0.112526283760491,0.395432,22.49563,22.38773,20.82062,20.25931,19.6056,0.3537676,0.1596953,0.05964866,0.05650692,0.134786,0.07371
1332,SN 1998ag,205.90175,0.13394,SN Ia,,Anon.           ,,,,,,,,0,1,,23.5,,1998-03-25 00:00:00,,,1237648704586908854,6,0.346661073094041,205.907371512013,0.135274322257602,0,24.5143,22.99272,21.86933,20.71885,20.25032,0.6633393,0.136048,0.08106491,0.04262246,0.1144361,0
1485,SN 1998Y,114.23721,35.24333,SN II,,NGC 2415        ,,,,,,,,0,1,,18.3,,1998-03-16 00:00:00,,,1237651066257342584,3,0.0197469840895324,114.237605467525,35.2433932491515,0.022077,18.7248,17.60863,17.44611,17.42868,17.27888,0.03655415,0.008611241,0.008423525,0.009698489,0.02309228,0.00807
1327,SN 1998ab,192.19683,41.92453,SN Ia,,NGC 4704        ,,,,,,,,0,1,,16.1,,1998-04-01 00:00:00,,,1237661966895611951,3,0.086693501627221,192.196242769764,41.9259072516175,-9999,18.03556,17.55125,17.9127,16.95101,16.63628,0.06943754,0.01952775,0.03946677,0.02362693,0.069924,-9999
1326,SN 1998aa,186.38604,7.64972,SN Ia,,Anon.           ,,,,,,,,0,1,,18,,1998-02-26 00:00:00,,,1237661971723059203,3,0.00765505329554588,186.385990612817,7.64983782131023,0.044524,16.4304,15.11701,14.47926,14.09605,13.84119,0.01041449,0.002510952,0.002338419,0.002313968,0.004161573,0.007581
1480,SN 1998T,172.13817,58.56214,SN Ib,,NGC 3690        ,,,,,,,,0,1,,15.4,,1998-03-02 00:00:00,,,1237655107301277787,3,0.0529842215543862,172.139217274757,58.5628338667695,0.000596,14.33296,13.36799,12.55859,12.3262,11.97852,0.003622096,0.001842141,0.001683382,0.001721648,0.002058324,0.007478
1479,SN 1998S,176.52575,47.48208,SN II,,NGC 3877        ,,,,,,,,0,1,,15.2,,1998-03-02 00:00:00,,,1237660636001665091,6,0.0447318486097909,176.526547602747,47.482595032706,0,21.9109,21.22851,21.67769,24.3618,22.8269,0.2396184,0.05144291,0.1223121,1.103188,0.8927238,0
1483,SN 1998W,149.72846,14.42381,SN II,,NGC 3075        ,,,,,,,,0,1,,17.3,,1998-03-16 00:00:00,,,1237671261205823552,3,0.0209901380854308,149.728108927239,14.4237276576149,0.176806,22.07156,21.13316,22.91109,24.3618,21.81856,0.2302546,0.04621581,0.2920289,0.7457865,0.4951187,0.159571
1482,SN 1998V,275.65583,15.70233,SN Ia,,NGC 6627        ,,,,,,,,0,1,,16,,1998-03-10 00:00:00,,,1237672156156200006,3,0.123621650546482,275.65680480478,15.7004957601258,0.332118,29.34011,16.89885,16.331,16.45084,22.82663,0.4975484,0.01455828,0.01370015,0.02302968,14.51023,0.093611
1478,SN 1998R,168.65429,30.31436,SN II,,UGC 6271        ,,,,,,,,0,1,,16,,1998-02-23 00:00:00,,,1237665328772481039,3,0.046023065230413,168.655157779756,30.314195153026,0.018767,15.81277,14.56081,13.89159,13.56148,13.30375,0.006313872,0.002218906,0.002180433,0.002126128,0.003366804,0.006223
1473,SN 1998M,173.43488,4.08706,SN Ia,,Anon.           ,,,,,,,,0,1,,23.3,,1998-01-24 00:00:00,,,1237655124467581269,3,0.0414745448269359,173.435197106205,4.08644536966298,0.177761,25.40809,20.88284,20.74328,21.27611,22.08507,2.102199,0.0807298,0.1063044,0.2922364,1.70367,0.05272
1472,SN 1998L,173.40263,4.58461,SN II,,Anon.           ,,,,,,,,0,1,,23.6,,1998-01-24 00:00:00,,,1237655125004386848,6,0.283053648091102,173.401218389193,4.58911283003486,0,23.32997,22.43413,21.69342,21.41129,22.70242,0.7406812,0.1729556,0.1097698,0.156136,1.059616,0
1406,SN 1998D,210.747,34.74842,SN Ia,,NGC 5440        ,,,,,,,,0,1,,15.6,,1998-01-28 00:00:00,,,1237664673258274881,6,0.0548472202899323,210.745960274383,34.748094764261,0,24.63465,24.08399,24.80203,22.99165,22.82689,0.726642,0.37778,0.6530843,0.3475981,0.6850383,0
1379,SN 1998C,110.89429,41.4345,SN II,,UGC 3825        ,,,,,,,,0,1,,18.1,,1998-01-21 00:00:00,,,1237663655343358025,3,0.0536320810358892,110.895372149932,41.434875224706,0.230314,22.79079,21.65575,21.61263,21.80112,22.8269,0.4852148,0.07753575,0.1168566,0.2047294,1.082675,0.058643
