id,label,ra,dec,mag,SDSS objid,SDSS type,SDSS offset,SDSS ra,SDSS dec,SDSS redshift,SDSS u,SDSS g,SDSS r,SDSS i,SDSS z,SDSS err_u,SDSS err_g,SDSS err_r,SDSS err_i,SDSS err_z,SDSS err_redshift
26115817697763457832,SN,4.0735,12.41483,0,1237678859010244685,6,0.0503371162027261,4.07266554456061,12.4150292702265,0,22.78966,22.1273,21.51835,21.89993,20.90317,0.4415635,0.119465,0.08902161,0.1671019,0.2667287,0
97791219791612373437,SN,149.297328826894,2.54451371646936,21.247,1237651754533781820,6,0.0121451938436591,149.297386314753,2.5447078181829,0,22.59669,22.8166,22.83048,22.38494,22.84184,0.3241183,0.1818921,0.2951579,0.3412649,0.8250104,0
24198889496893225597,SN,182.97158,24.11372,17.4,1237667446192209953,3,0.012137641035505,182.971757861517,24.113840699624,-9999,21.08328,20.59388,20.93959,21.36851,22.1874,0.1065438,0.03612195,0.06389871,0.1442215,0.81633,-9999
77139401902186944593,SN,175.23292,11.47936,15,1237661948639772701,3,0.230759037081313,175.236641746149,11.4805801913786,-9999,15.15369,15.35717,14.7388,25.24898,24.73412,0.01454336,0.009450248,0.007689761,28.30406,9.746467,-9999
33188980847563554726,AGN,4.59821,32.01975,0,1237676441996689436,3,0.0141874327264886,4.59805441723881,32.0199462420656,0.062011,17.94324,16.38083,15.60021,15.15935,14.85271,0.0257866,0.003995751,0.003257408,0.00334018,0.006399643,0.014913
6311511895912362185,AGN,161.48536157545135,5.448949057687197,19.4734,1237654602642161892,3,0.00684974292314364,161.48527234008,5.44887735064195,0.607717,21.5648,21.41083,21.02608,20.74937,20.41656,0.1466468,0.05478172,0.04787356,0.05318664,0.1572994,0.20218
39259036043317830506,SN,153.40417,-0.936,17.5,1237648720145350698,3,0.276994081732248,153.407448215634,-0.932749021619386,0.371905,23.84403,21.93125,20.36569,19.76857,19.24047,0.6685711,0.08859762,0.03250512,0.0285034,0.06225193,0.054787
69023804007930912899,AGN,212.45608869045,53.9930463869236,23.1555,1237661417138684470,3,0.0169136019301029,212.455745652568,53.9932433508041,0.763075,22.51639,21.91002,21.48049,20.66447,20.5433,0.4166659,0.1011447,0.1119979,0.08228627,0.3160123,0.099128
5984785787887869934,SN,348.65408,4.50158,16.7,1237679005021831238,6,0.030889320490938,348.653685463609,4.50191217719418,0,22.39469,22.19729,22.30754,24.21519,22.8269,0.296525,0.1016505,0.1598213,0.7917742,0.7753505,0
77308125587209306359,SN,334.167516386708,-1.140111627014,21.2569,1237656567047783039,3,0.0296742982190716,334.168003706228,-1.14019656709124,0.147106,21.81433,20.64254,20.09411,19.89067,19.8489,0.3421793,0.05506027,0.04911399,0.06761426,0.2389483,0.063197
