NNo,GCVS,J2000.0,Type,Max,Min I,Min II,,Epoch,Year,Period,M-m,Spectrum,References,Other desig. p.m.(as/yr),,Epoch,,Ident.,New type,GCVS,
140108,CG    CMa *,070405.28 -234534.2,UGSU,13.7,22,,V,,,,,pec(UG),N0362 N0363,,,1999,,Lit.,UGSU,CG    CMa,
780661,V0661 Tau *,034835.19 +225342.5,UV,15.3,22,,U,,,,,,06894 06894,,,1997.824,?,2MASS,,V0661 Tau,
51419,V1419 Aql,191306.80 +013423.3,NA,7.4,22,,V,49130,1993,,,pec(Nova),00001 79229,,,1993.95,,Lit.,N,V1419 Aql,
51831,V1831 Aql,192150.12 +150924.8,NA,14.7,22,,V,57295,2015,,,pec(Nova),81314 81315,,,,,,,V1831 Aql,
592290,V2290 Oph,174305.60 -200655.3,NA,9.3,22,,V,,,,,,71156,,,1991.855,,Lit.,,V2290 Oph,
724135,V4135 Sgr,175945.06 -321621.2,N,10.4,22,,V,,,,,,69240 69157,,,1987.515,,Lit.,,V4135 Sgr,
180955,V0955 Cas,235137.19 +630037.0,M,15.7,22,,I,50046,,575,,,76006 2MASS,,,1992.741,,GSC2.2,M,V0955 Cas,
181037,V1037 Cas *,002903.05 +593418.9,*,17.2,22,,i',,,,,,N0475 80040,,,2006,,Lit.,Xlm,V1037 Cas,
181201,V1201 Cas *,235608.30 +564134.0,UV,18,22,,V,,,,,,80004 80004,,,1992.8,,Lit.,UV,V1201 Cas,
311494,V1494 Cyg *,205226.11 +433321.7,UVN,15.5,22,,U,,,,,,07463 07463,,,1990.697,,GCVS,,V1494 Cyg,
592110,V2110 Oph,174333.37 -224535.9,NC,12,22,,V,,1940,,,pec(Nova)+M8,09554 09554,,,1980.885,,A2.0,,V2110 Oph,
592301,V2301 Oph,180035.57 +081012.3,E+AM,16,22,,V,,,,,,72127 72085,,,1950.522,,A2.0,,V2301 Oph,
780327,QS    Tau *,034711.02 +241351.7,UV,14,22,,U,,,,,,05607 10031,,,2000.732,,2MASS,,QS    Tau,
780345,V0345 Tau *,034820.58 +233101.7,UV,15,22,,U,,,,,,05606 10031,,,1997.824,,2MASS,,V0345 Tau,
850252,KS    Vel,084045.38 -543753.8,UV,18,22,,U,,,,,,68271 68271,,,1998.908,,2MASS,,KS    Vel,
120080,BB    Cnc *,084038.   +192947. ,UV,15.7,21.8,,U,,,,,M,5520,,,,,,UV,BB    Cnc,
860324,PZ    Vir,132411.57 +032050.5,AM,20.5,21.8,,r,,,,,,78168 78043,,,2002.2,,Lit.,,PZ    Vir,
40274,LZ    Aqr *,212314.54 -054752.9,XNDR,16.5,21.7,,R,50998,1998,,,pec(e),N0130,,,,,Lit.,XN,LZ    Aqr,
401247,V1247 Her,171145.09 +301320.1,NL,21.44,21.67,,*,,,0.05579861,,,80030 80027,,,1950.462,,A2.0,,V1247 Her,
51333,V1333 Aql *,191116.11 +003506.3,XND,14.82,21.6,,V,,,,,K6V-M0V+pec(e),N0289 N0289,,,1951.645,,A2.0,XN,V1333 Aql,
120083,BE    Cnc *,084122.   +201242. ,UV,16.6,21.6,,U,,,,,,3924,,,,,,UV,BE    Cnc,
170365,V0365 Car *,110315.98 -582727.5,NB,10.1,21.6,,B,32820,1948,,,pec(e),72118 72118,,,,,Lit.,N,V0365 Car,
180710,V0710 Cas *,003646.00 +632852.9,FU,18.6,21.6,,V,,,,,F8II,73074 2MASS,,,1998.668,,2MASS,TT,V0710 Cas,
311710,V1710 Cyg,205324.92 +414543.7,UVN,14.6,21.6,,U,,,,,,08510 USNO,,,1954.511,,A2.0,,V1710 Cyg,
311714,V1714 Cyg,205734.60 +430931.1,UVN,15.9,21.6,,U,,,,,,08510 USNO,,,1954.511,,A2.0,,V1714 Cyg,
780301,NZ    Tau *,034513.14 +241523.8,UV,15.8,21.6,,U,,,,,,05606 10031,,,1999.962,,2MASS,,NZ    Tau,
