NNo,GCVS,J2000.0,Type,Max,Min I,Min II,,Epoch,Year,Period,M-m,Spectrum,References,Other desig. p.m.(as/yr),,Epoch,,Ident.,New type,GCVS,
780341,V0341 Tau *,034805.71 +223809.6,UV,12,21,,U,,,,,,07328 10031,,,1997.824,,2MASS,,V0341 Tau,
780445,V0445 Tau *,034606.88 +251445.1,UV,14.5,21,,p,,,,,,10031 10031,,,1999.962,,2MASS,,V0445 Tau,
780522,V0522 Tau *,034524.64 +250238.6,UV,15.3,21,,U,,,,,,06397 10031,,,1999.962,,2MASS,,V0522 Tau,
780609,V0609 Tau *,034150.54 +225517.7,UV,15.8,21,,p,,,,,,06893 10031,,,1998.752,,2MASS,,V0609 Tau,
780732,V0732 Tau *,033832.70 +232407.4,UV,16.2,21,,p,,,,,,08554 10031,,,1998.752,,2MASS,,V0732 Tau,
780757,V0757 Tau *,034832.6  +232630. ,UV,18.5,21,,p,,,,,,08554 10031,,,,?,Lit.,,V0757 Tau,
780862,V0862 Tau,034715.73 +222117.2,UV,15.9,21,,U,,,,,,68246 68236,,,1997.824,,2MASS,,V0862 Tau,
780930,V0930 Tau,043258.99 +261439.8,UV,15.5,21,,p,,,,,,68262 2MASS,,,1997.914,,2MASS,,V0930 Tau,
830165,EV    UMa,130753.86 +535130.4,AM,17,21,,V,,,,,,72171 72218,,,1999.193,,2MASS,,EV    UMa,
181232,V1232 Cas *,235827.34 +564636.4,E,20.86,20.99,,r',51807.5492,,,,,80614 80614,,,1999.5,,Lit.,E,V1232 Cas,
181237,V1237 Cas *,235839.38 +563644.7,EA/RS,20.51,20.99,,r',51808.7056,,0.450285,14,,80614 80614,,,1999.5,,Lit.,EA+RS,V1237 Cas,
50841,V0841 Aql,190739.79 +102943.7,NB,11.5,20.9,,p,33743,1951,,,pec(Nova),72118,,,,,Lit.,N,V0841 Aql,
720685,V0685 Sgr,181424.60 -350733.1,M,14.4,20.9,,p,36662,,192.3,,,00001 06286,,,1996.683,,GSC2.2,,V0685 Sgr,
120081,BC    Cnc *,084107.   +190143. ,UV,16.8,20.9,,U,,,,,M,5520,,,,,,UV,BC    Cnc,
370039,UZ    For,033528.62 -254421.9,E+XM,18.2,20.9,,V,,,,,,69146 69147,,,1983.335,,A2.0,,UZ    For,
560203,GU    Mus,112626.88 -684032.5,XND+ELL,13.65,20.9,,B,,,,,,71102 71104,,,1991,,Lit.,,GU    Mus,
592147,V2147 Oph,171314.62 -294407.9,M,17.6,20.9,,B,,,,,,67120 67120,,,1997.321,,GSC2.2,,V2147 Oph,
780252,KS    Tau *,034010.91 +260641.0,UV,14.4,20.9,,U,,,,,,05606 10031,,,1999.861,,2MASS,,KS    Tau,
210201,GS    Cet,005050.91 +000912.9,NL,20.65,20.85,,g,,,0.0558,,pec(e),80064 80027,,,1990.659,,GSC2.3,,GS    Cet,
591235,V1235 Oph *,170150.00 -202100.5,N,17,20.8,,p,36810,1959,,,,05455 GSC22,,,1996.544,,GSC2.2,,V1235 Oph,
591272,V1272 Oph,170302.15 -222916.3,M,15.7,20.8,,p,35600,,270,,,05455 USNO,,,1980.896,,A2.0,,V1272 Oph,
830019,SS    UMa,140202.7  +542757. ,SN,13.5,20.8,,B,18359,1909,,,,V 436 V 436,#NAME?,,1909.143,,Lit.,,SS    UMa,
181226,V1226 Cas *,235745.06 +565536.6,EA,20.7,20.8,,r',51806.4638,,,,,80614 80614,,,1999.5,,Lit.,EA,V1226 Cas,
210173,FI    Cet,015118.57 -022300.7,UG,14,20.8,,R,,,,,,78029 78029,,,1985,,B1.0,,FI    Cet,
370026,SZ    For,034119.93 -263621.5,UG,18.2,20.8,,p,,,,,,04033 04033,,,1983.335,,A2.0,,SZ    For,
400754,V0754 Her,171002.11 +435754.4,IA,18.2,20.8,,B,,,,,,08474 08474,,,1954.517,,A2.0,,V0754 Her,
592138,V2138 Oph,171239.23 -291608.1,M,16,20.8,,B,,,,,,67120 67120,,,1997.321,,GSC2.2,,V2138 Oph,
592186,V2186 Oph,171540.51 -291457.8,M,18,20.8,,B,,,,,,67120 67120,,,1997.321,,GSC2.2,,V2186 Oph,
592194,V2194 Oph,171604.69 -294024.9,RRAB,19.2,20.8,,B,,,,,,67120 67120,,,1997.321,,GSC2.2,,V2194 Oph,
520716,V0716 Lyr,192117.26 +374504.6,EA/RS,19.76,20.78,,V,,,0.436533,,,80520 GSC23,,,1992.438,,GSC2.3,,V0716 Lyr,
700029,TV    Ret,043540.68 -591524.3,UG,16.61,20.77,,B,,,,,,72082 72082,,,,,A2.0,,TV    Ret,
380446,V0446 Gem,064719.10 +333424.5,UG,18.1,20.7,,*,,,,,pec(UG),81107,,0.000  0.000,2008.115,,Lit.,,V0446 Gem,
80654,V0654 Aur,072910.71 +365838.6,XM,19.5,20.7,,V,,,0.104,,,80278 USNO,,,1985.8,,B1.0,AM,V0654 Aur,
160135,DM    Cap *,215411.13 -090121.7,NL,20.2,20.7,,*,,,,,pec(e),80030 GSC23,,,1987.784,,GSC2.3,CV,DM    Cap,
181198,V1198 Cas *,235558.93 +564029.6,EA,20.1,20.7,,r',51798.5229,,,,,80614 80614,,,1999.5,,Lit.,EA,V1198 Cas,
340309,OV    Dra *,125023.85 +665525.5,EA,19,20.7,,*,53407.55966,,0.0587357,6,pec(e),80030 USNO,,-0.026  0.001,2000,,SDSS,,OV    Dra,
360258,KY    Eri,031051.66 -075500.3,UGSU,15.6,20.7,,V,,,,,pec(UG),80027 80027,,,1993.726,,GSC2.3,,KY    Eri,
370078,AY    For,024234.82 -280244.0,EA+NL,18.4,20.7,,V,52577.4376,,0.0746,15,pec(e),80119 80125,,,1998.864,,2MASS,,AY    For,
710047,WY    Sge *,193243.86 +174454.7,N+UG+EA,5.4,20.7,,B,72494,1783,,,pec(e+cont),01372 09708,,,1950.544,,A2.0,,WY    Sge,
780256,KW    Tau *,034009.68 +231032.8,UV,14.1,20.7,,U,,,,,,05606 10031,,,1998.752,,2MASS,,KW    Tau,
780619,V0619 Tau *,034326.20 +260230.9,UV,15.5,20.7,,p,,,,,,10031 10031,,,1999.899,,2MASS,,V0619 Tau,
181203,V1203 Cas *,235611.77 +564555.6,EA/RS,20.05,20.62,20.2,r',51807.2607,,1.531,6,,80614 80614,,,1999.5,,Lit.,EA+RS,V1203 Cas,
110274,LZ    Cam,034744.96 +632825.1,EW,19.5,20.61,20.2,V,51871.186,,0.326171,,,78059 78059,,,1954.013,,A2.0,EC,LZ    Cam,
723018,V3018 Sgr,181926.46 -343133.6,M,14.6,20.6,,p,36810,,262,,Me,05869 GSC22,,,1996.645,,GSC2.2,,V3018 Sgr,
30142,DT    Aps,172247.73 -750956.2,UG,14.4,20.6,,p,,,,,,06960 72085,,,1980.411,,A2.0,UG,DT    Aps,
40319,PU    Aqr,204739.40 +000840.3,UG,17.76,20.6,,r,,,,,pec,80559,,,2006.78,,Lit.,UG,PU    Aqr,
40380,V0380 Aqr *,224200.07 -004222.2,RR(B),20,20.6,,r',,,0.364,,,81040 USNO,,,1988.607,,G23,,V0380 Aqr,
120107,CF    Cnc *,083834.   +191532. ,UV,14.4,20.6,,U,,,,,,70013,,,,,,UV,CF    Cnc,
181222,V1222 Cas *,235729.99 +565734.3,EA/RS,20.25,20.6,20.5,r',51801.1921,,0.902117,7,,80614 80614,,,1999.5,,Lit.,EA+RS,V1222 Cas,
200709,V0709 Cep,225809.12 +662112.4,N,12.63,20.6,,*,,,,,,77206 77207,,,2001.719,,Lit.,,V0709 Cep,
311528,V1528 Cyg,204853.88 +411252.0,UV,16.1,20.6,,U,,,,,,07753 USNO,,,1954.511,,A2.0,,V1528 Cyg,
311537,V1537 Cyg,205546.95 +434217.5,UVN,16.6,20.6,,U,,,,,,07753 USNO,,,1954.511,,A2.0,,V1537 Cyg,
400756,V0756 Her,171207.34 +424945.0,IA,19.4,20.6,,B,,,,,,08474 08474,,,1954.517,,A2.0,,V0756 Her,
400763,V0763 Her,171834.95 +421125.8,IA,19,20.6,,B,,,,,,08474 08474,,,1953.452,,A2.0,,V0763 Her,
592185,V2185 Oph,171530.59 -293046.1,M,17.2,20.6,,B,,,,,,67120 67120,,,1992.552,,GCVS,,V2185 Oph,
640132,DI    Phe,235420.45 -470020.7,EA+NL,18.6,20.6,,V,50360.6614,,0.065538,,pec(e),80524 80524,,,1984.121,,A2.0,,DI    Phe,
660260,LL    Psc *,232147.13 +001408.4,RR(B),19.8,20.6,,r',,,0.3486,,,81040 GSC23,,,1991.674,,G23,,LL    Psc,
780276,MN    Tau *,034336.57 +231234.3,UV,15.3,20.6,,U,,,,,,03924 10031,,-0.023,2000,,2MASS+pm,,MN    Tau,
181230,V1230 Cas *,235813.37 +564536.1,EA,20.4,20.58,20.46,r',51807.1193,,1.074,6,,80614 80614,,,1999.5,,Lit.,EA,V1230 Cas,
850509,V0509 Vel *,101752.85 -463407.0,EW,19.85,20.54,20.33,V,,,0.276216,,,80329 80329,,,1999.24,,2MASS,,V0509 Vel,
10243,IZ    And,010703.86 +424312.4,UG,15.4,20.5,,p,,,,,OB,N0086 72085,,,1989.76,,GSC2.2,UG,IZ    And,
260573,V0573 CrA,182334.05 -370745.0,M,13.8,20.5,,p,35960,,231.5,,,05869 03513,,,1987.375,,GSC,,V0573 CrA,
311698,V1698 Cyg,204452.   +434357. ,UV,14.3,20.5,,U,,,,,,8508,,,,,,,V1698 Cyg,
724171,V4171 Sgr,182341.42 -225928.4,NA,7.49,20.5,,V,,,,,,71168 71252,,,1992.783,,Lit.,,V4171 Sgr,
780763,V0763 Tau *,035058.16 +235542.9,UV,14.4,20.5,,U,,,,,,08564 10031,,,1997.824,,2MASS,,V0763 Tau,
10500,V0500 And *,004226.50 +421536.7,UGSU,14.5,20.5,,*,,,,,pec(UG),80233,,,2008.908,,Lit.,UGWZ,V0500 And,
51098,V1098 Aql,201048.99 +150744.5,M,15,20.5,,p,53597,,357.5,,,00001 04341,,,1998.726,,2MASS,M,V1098 Aql,
190009,Z     Cen *,133957.36 -313806.3,SNI,8,20.5,,p,13383,1895,,,pec(SN),02249 N0486,,,1895,,Lit.,SNI,Z     Cen,
340159,EP    Dra,190706.05 +690841.6,E+XM,17.6,20.5,,V,,,,,,71180 71180,,,1954.574,,A2.0,,EP    Dra,
591788,V1788 Oph,171734.33 -164413.7,M,15.8,20.5,,p,36700,,306,,,05455 GSC22,,,1988.536,,GSC2.2,,V1788 Oph,
721875,V1875 Sgr,182616.44 -345447.8,M,13.6,20.5,,p,30903,,281,,,02447 02447,,,1998.582,,2MASS,,V1875 Sgr,
780741,V0741 Tau *,034359.21 +223421.4,UV,16.1,20.5,,p,,,,,,08560 10031,,,1998.859,,2MASS,,V0741 Tau,
80805,V0805 Aur,062703.78 +395249.2,UGSU,12.2,20.5,,V,,,,,,81097 USNO,,0.000  0.000,1986.905,,G23,,V0805 Aur,
90314,PP    Boo,151414.07 +454913.0,NL,20.2,20.5,,g,,,,,pec(e),80030 79229,,,1953.203,,A2.0,CV,PP    Boo,
120079,AZ    Cnc *,084029.69 +182408.6,UV,14.1,20.5,,U,,,,,M6.5Ve,03924 2MASS,,-1.267,2000,,2MASS+pm,UV,AZ    Cnc,
200336,V0336 Cep,204702.73 +671953.6,UV,17,20.5,,p,,,,,,08241 08241,,,1999.739,?,2MASS,,V0336 Cep,
250187,FX    Com,124427.   +293936. ,RR,19.7,20.5,,p,,,,,,5378,,,,,,,FX    Com,
250192,GI    Com,123336.51 +280641.3,UV,14.1,20.5,,p,,,,,,06337 06337,,,1950.276,,A2.0,,GI    Com,
311522,V1522 Cyg,204153.10 +401402.9,UV,17.9,20.5,,B,,,,,,07498 USNO,,,1953.452,,A2.0,,V1522 Cyg,
311529,V1529 Cyg,205046.29 +415754.0,UV,14.1,20.5,,p,,,,,,07753 2MASS,,,2000.447,,2MASS,,V1529 Cyg,
311603,V1603 Cyg,205307.05 +423726.6,UV,15.4,20.5,,p,,,,,,07948 2MASS,,,2000.395,,2MASS,,V1603 Cyg,
311604,V1604 Cyg,205530.75 +433448.5,UVN,16.8,20.5,,U,,,,,,07948 2MASS,,,2000.398,,2MASS,,V1604 Cyg,
311612,V1612 Cyg,210333.30 +411128.0,UV,16.2,20.5,,p,,,,,,07948 2MASS,,,2000.379,,2MASS,,V1612 Cyg,
311709,V1709 Cyg,205321.   +450425. ,UVN,16.3,20.5,,U,,,,,,8508,,,,,,,V1709 Cyg,
370041,VW    For,025251.27 -303743.4,AM,19.5,20.5,,p,,,,,,73015 73015,,,1978.815,,GCVS,,VW    For,
380213,HM    Gem,060308.82 +251448.4,UG,16.5,20.5,,p,,,,,,04341 04341,,,1954.895,,A2.0,,HM    Gem,
400333,QY    Her,184609.66 +123750.0,M,13.7,20.5,,p,30207,,244,,,00164 02368,,,1982.381,,GSC,,QY    Her,
400356,V0356 Her,184159.32 +130754.2,M,13.8,20.5,,p,30080,,300,,,00164 02367,,,1950.541,,A2.0,,V0356 Her,
400762,V0762 Her,171835.33 +414159.0,IA,19.5,20.5,,B,,,,,,08474 08474,,,1953.452,,A2.0,,V0762 Her,
600979,V0979 Ori *,053437.78 -041928.1,UVN,15.8,20.5,,p,,,,,,09482 09482,,,1955.88,,A2.0,,V0979 Ori,
602828,V2828 Ori,061959.93 +192658.8,NL,14.5,20.5,,B,,,,,,81096 USNO,,0.000  0.000,1996.123,,G23,,V2828 Ori,
650034,UU    Pic,051425.56 -525351.9,NL,19.5,20.5,,p,,,,,,73015 73015,,,1976.825,,A2.0,,UU    Pic,
680662,V0662 Pup *,072650.57 -474526.7,EW,20.1,20.5,20.5,V,48656.7105,,0.2386,,,80277 80277,,,1980.143,,A2.0,,V0662 Pup,
780455,V0455 Tau *,034721.60 +222211.5,UV,14,20.5,,U,,,,,,10031 10031,,,1997.824,,2MASS,,V0455 Tau,
780463,V0463 Tau *,034845.35 +243726.5,UV,14.8,20.5,,p,,,,,,05928 10031,,,1997.882,,2MASS,,V0463 Tau,
780489,V0489 Tau *,033942.71 +235427.9,UV,14.2,20.5,,U,,,,,,10031 06395,,,1998.752,,2MASS,,V0489 Tau,
780510,V0510 Tau *,034318.53 +233409.2,UV,14.2,20.5,,U,,,,,,06397 10031,,,1998.752,,2MASS,,V0510 Tau,
780528,V0528 Tau *,034623.46 +240151.4,UV,13.3,20.5,,U,,,,,,06397 10031,,,1998.889,,2MASS,,V0528 Tau,
780607,V0607 Tau *,034043.46 +221507.1,UV,15,20.5,,p,,,,,,06893 10031,,,1998.752,,2MASS,,V0607 Tau,
780611,V0611 Tau *,034231.20 +244921.6,UV,16.3,20.5,,p,,,,,,06893 10031,,,1999.842,,2MASS,,V0611 Tau,
780792,V0792 Tau *,034735.   +245113. ,UV,13.4,20.5,,U,,,,,,8796,,,,,,,V0792 Tau,
780795,V0795 Tau *,034831.99 +240448.1,UV,14.5,20.5,,U,,,,,,08796 10031,,0.263,2000,,Lit.,,V0795 Tau,
780829,V0829 Tau,043252.2  +263505. ,UV,15,20.5,,p,,,,,,67324,,,,?,GCVS,,V0829 Tau,
780894,V0894 Tau,042411.   +225453. ,UV,16.3,20.5,,p,,,,,,68260,,,,,,,V0894 Tau,
810258,KY    TrA *,152816.91 -615257.8,XND,17.5,20.5,,B,,,,,,08544 08544,,,1975.435,,GCVS,,KY    TrA,
731103,V1103 Sco,170549.36 -362603.1,EW,19.7,20.45,,V,,,,,,75241 75241,,,1996.5,,Lit.,,V1103 Sco,
60821,V0821 Ara *,170249.40 -484723.1,XF,15.4,20.4,,V,,,,,pec(e),N0023 N0022,,,1979.93,,A2.0,Xlm,V0821 Ara,
591353,V1353 Oph,170600.56 -215741.0,M,17.4,20.4,,p,35600,,,,Me,05455 GSC,,,1987.578,,GSC,,V1353 Oph,
591889,V1889 Oph *,172013.55 -213037.2,M,17.8,20.4,,p,35674,,196,,,05455 USNO,,,1980.896,,A2.0,,V1889 Oph,
721336,V1336 Sgr,180214.32 -295651.4,M,17.2,20.4,,p,31708,,258,,,01680 01680,,,1998.621,,2MASS,,V1336 Sgr,
90039,UZ    Boo,144401.24 +220054.6,UG,11,20.4,,V,,,-2191,,,N0054 72085,,,1992.193,,GSC2.3,UGWZ,UZ    Boo,
190812,V0812 Cen,131354.23 -574045.9,NB,11,20.4,,V,41796,1973,,,pec(Nova),08231 08231,,,1993.347,,GCVS,N,V0812 Cen,
270097,BT    CrB,155656.95 +352336.6,EA,18.9,20.4,,V,53193.859,,0.0892,,pec(e),80405 USNO,,,1994.368,,GSC2.3,,BT    CrB,
390094,BQ    Gru,213330.47 -450953.1,RR,19.6,20.4,,B,,,,,,68127 68127,,,1984.159,,A2.0,,BQ    Gru,
400766,V0766 Her,172142.15 +424432.9,IA,19.3,20.4,,B,,,,,,08474 08474,,,1953.452,,A2.0,,V0766 Her,
540088,BK    Mic,212710.00 -444356.1,RR,19.6,20.4,,B,,,,,,68127 68127,,,1993.611,,GCVS,,BK    Mic,
591453,V1453 Oph,170852.76 -190108.8,E/SD,17.4,20.4,,p,35632.903,,4.17502,,,05455 USNO,,,1954.405,,A2.0,,V1453 Oph,
591648,V1648 Oph,171356.70 -205506.0,E,18.6,20.4,,p,35960.916,,,,,05455 USNO,,,1954.585,,A2.0,,V1648 Oph,
591691,V1691 Oph,171514.17 -215212.8,SRB,18.6,20.4,,p,,,,,,05455 USNO,,,1980.896,,A2.0,,V1691 Oph,
591743,V1743 Oph,171630.46 -172332.8,SR,18.4,20.4,,p,35960,,,,M2,05455 GSC22,,,1988.536,,GSC2.2,,V1743 Oph,
592153,V2153 Oph,171345.09 -290908.5,M,17.3,20.4,,B,,,,,,67120 67120,,,1997.321,,GSC2.2,,V2153 Oph,
592195,V2195 Oph,171608.99 -291407.8,RRAB,17.9,20.4,,B,,,,,,67120 67120,,,1997.321,,GSC2.2,,V2195 Oph,
601081,V1081 Ori *,053830.05 -061254.0,UVN,16,20.4,,p,,,,,,08778 08778,,,1955.88,,A2.0,,V1081 Ori,
601092,V1092 Ori,053036.60 -043738.5,UVN,15.4,20.4,,p,,,,,,67146 67146,,,1955.957,,A2.0,,V1092 Ori,
780847,V0847 Tau,034351.75 +241416.1,UV,15,20.4,,p,,,,,,68239 68236,,,2000.732,,2MASS,,V0847 Tau,
800028,TU    Tri,013915.73 +312415.0,UGSU,14.8,20.4,,p,,,,,,08475 08475,,,1977.5,,B1.0,,TU    Tri,
850387,V0387 Vel,083547.74 -404044.1,IN,18.92,20.4,,V,,,,,,77072 77072,,,1999.157,,2MASS,,V0387 Vel,
860558,V0558 Vir,142701.59 -012310.3,AM,15.1,20.4,,R,,,,,pec(e),80400 SDSS,,-0.026  0.025,2000,,SDSS,,V0558 Vir,
591134,V1134 Oph,165706.16 -201748.5,M,16.5,20.3,,p,36740,,252,,,05455 USNO,,,1980.934,,A2.0,,V1134 Oph,
591454,V1454 Oph,170859.34 -214129.0,M,17.4,20.3,,p,35690,,,,,05455 USNO,,,1980.896,,A2.0,,V1454 Oph,
592007,V2007 Oph,172323.79 -221330.9,M,16,20.3,,p,35642,,310,,,05455 USNO,,,1980.86,,A2.0,,V2007 Oph,
830427,V0427 UMa,135642.41 +613024.3,UG,15.5,20.3,,CV,,,,,,81155 USNO,,0.000  0.000,1996.149,,G23,,V0427 UMa,
10225,HY    And *,004232.24 +414015.4,UV,18.2,20.3,,B,,,,,,N0082 07737,#NULL!,,1998.895,,2MASS,UV,HY    And,
400755,V0755 Her,171202.78 +441337.0,IA,19.4,20.3,,B,,,,,,08474 08474,,,1954.517,,A2.0,,V0755 Her,
400765,V0765 Her,172037.18 +442123.1,IA,19.5,20.3,,B,,,,,,08474 08474,,,1953.452,,A2.0,,V0765 Her,
420406,V0406 Hya,090554.75 -053608.3,NL,16.5,20.3,,V,,,,,,78123 USNO,,,1977.4,,B1.0,,V0406 Hya,
530049,XX    Men *,045035.29 -841151.7,RRAB,19.3,20.3,,B,42403.121,,0.52855,23,,07982 07982,,,1983.409,,A2.0,,XX    Men,
550666,V0666 Mon,063943.01 +091027.3,UV,15.8,20.3,,p,,,,,,68294 68294,,,1951.916,?,A2.0,,V0666 Mon,
590517,V0517 Oph *,171519.73 -290537.3,LB,12.6,20.3,,B,,,,,C(R0),00262 00262,,,1997.321,,GSC2.2,,V0517 Oph,
591175,V1175 Oph,165929.88 -214727.9,E/SD,18.8,20.3,,p,35635.916,,0.986       /N,,,05455 USNO,,,1980.934,,A2.0,,V1175 Oph,
591194,V1194 Oph,170021.12 -215122.2,E/SD,17.6,20.3,,p,36760.792,,8.           /N,,,05455 USNO,,,1980.934,,A2.0,,V1194 Oph,
591734,V1734 Oph,171618.95 -172336.8,M,13.6,20.3,,p,35620,,260.1,,M3-M8,00001 00551,,,1954.585,,A2.0,,V1734 Oph,
592158,V2158 Oph,171358.08 -294725.7,RRAB,18.4,20.3,,B,,,,,,67120 67120,,,1987.697,?,GSC2.2,,V2158 Oph,
592160,V2160 Oph,171419.24 -291942.3,M,17.2,20.3,,B,,,,,,67120 67120,,,1997.321,,GSC2.2,,V2160 Oph,
760417,V0417 Ser,151407.68 -012607.3,RRAB,19.1,20.3,,V,51621.8781,,0.545916,,,80159 USNO,,,1955.3,,A2.0,,V0417 Ser,
860508,V0508 Vir,135342.52 -001709.1,RRAB,19.3,20.3,,V,51579.9155,,0.550159,,,80159 USNO,,,1952.08,,A2.0,,V0508 Vir,
430099,BV    Hyi,034207.68 -715132.7,RR,19.63,20.29,,B,,,,,,72082 72082,,,1980.379,,A2.0,,BV    Hyi,
850385,V0385 Vel,083540.66 -403836.4,IN,19.78,20.22,,V,,,,,,77072 77072,,,1999.157,,2MASS,,V0385 Vel,
490182,FS    Lib *,160023.74 -122057.5,M,15.1,20.2,,p,36685,,415,,M8.1-M9.0,03519 GSC,,,1983.061,,GSC,,FS    Lib,
591181,V1181 Oph,165929.22 -184104.5,M,15.1,20.2,,p,36700,,,,,05455 USNO,,,1980.934,,A2.0,,V1181 Oph,
591302,V1302 Oph,170430.06 -221010.5,SRA,19.1,20.2,,p,,,,,,05455 GSC22,,,1996.544,,GSC2.2,,V1302 Oph,
591326,V1326 Oph,170502.29 -185930.0,UG,17.9,20.2,,p,,,-20,,,05455 GSC22,,,1996.544,,GSC2.2,,V1326 Oph,
591701,V1701 Oph,171525.24 -204104.2,M,15.3,20.2,,p,36670,,298,,M5-M9.5,05455 USNO,,,1980.896,,A2.0,,V1701 Oph,
591958,V1958 Oph,172200.32 -210724.0,M,17.3,20.2,,p,,,,,,05455 USNO,,,1954.585,,A2.0,,V1958 Oph,
592001,V2001 Oph,172304.91 -203010.3,M,16.9,20.2,,p,36740,,,,,05455 USNO,,,1980.86,,A2.0,,V2001 Oph,
10267,LS    And *,003210.22 +415811.6,NA,11.7,20.2,,B,41188,1971,,,,67003 72118,#NULL!,,1953.775,,A2.0,N,LS    And,
40228,IK    Aqr,222543.74 -111340.5,BLLAC,19.1,20.2,,p,,,,,pec(BL),04033 76005,,,1954.654,,A2.0,BLLac,IK    Aqr,
40369,V0369 Aqr *,212629.39 -002054.0,RR(B),19.7,20.2,,r',,,0.439661,,,81040 USNO,,,1989.712,,G23,,V0369 Aqr,
181196,V1196 Cas *,235518.41 +564314.3,EA/RS,19.92,20.2,20.2,r',51800.6104,,0.904404,,,80614 80614,,,1999.5,,Lit.,EA+RS,V1196 Cas,
181221,V1221 Cas *,235725.22 +563437.0,EW,19.49,20.2,19.95,V,,,0.2789,,,80004 80004,,,1952.953,,A2.0,EC,V1221 Cas,
250183,FT    Com,123047.   +292227. ,RR,19.5,20.2,,p,,,,,,5378,,,,,,,FT    Com,
250186,FW    Com,124315.   +281735. ,RR,19,20.2,,p,,,,,,5378,,,,,,,FW    Com,
311590,V1590 Cyg,204318.10 +401820.9,UV,16.6,20.2,,p,,,,,,07948 USNO,,,1953.452,,A2.0,,V1590 Cyg,
312070,V2070 Cyg,212640.08 +521908.1,LB,19.1,20.2,,B,,,,,,73134 73134,,,1991.762,,GCVS,,V2070 Cyg,
470053,YZ    LMi *,092638.74 +362402.4,EA,19.2,20.2,19.3,g',53473.72539,,0.01966,2,pec(e),80320 USNO,,,1998.305,,GSC2.3,,YZ    LMi,
530048,WZ    Men *,044911.17 -834503.1,RRAB,19.3,20.2,,B,42402.885,,0.51386,26,,07982 07982,,,1983.409,,A2.0,,WZ    Men,
550616,V0616 Mon *,062244.54 -002044.0,XND+ELL,11.26,20.2,,B,,,,,pec(cont-e)+K5-7V,08693 09457,,,1955.883,,A2.0,,V0616 Mon,
592144,V2144 Oph,171254.97 -291256.8,M,17.3,20.2,,B,,,,,,67120 67120,,,1997.321,,GSC2.2,,V2144 Oph,
600777,V0777 Ori *,053454.90 -042724.5,UVN,15.8,20.2,,U,,,,,,05573 05573,,,1955.88,,A2.0,,V0777 Ori,
601125,V1125 Ori,053548.39 -061736.1,UVN,11.9,20.2,,U,,,,,,67150 USNO,,,1955.88,,A2.0,,V1125 Ori,
723711,V3711 Sgr,183921.56 -323555.7,RRAB,17.4,20.2,,p,35632.884,,0.47197,17,,05869 GSC22,,,1996.688,,GSC2.2,,V3711 Sgr,
760452,V0452 Ser,153439.16 -002615.3,RRAB,18.9,20.2,,V,51257.8988,,0.636913,,,80159 USNO,,,1950.462,,A2.0,,V0452 Ser,
780298,NW    Tau *,034447.32 +240037.9,UV,17.5,20.2,,U,,,,,M,03924 10031,,,1999.962,,2MASS,,NW    Tau,
780302,OO    Tau *,034513.41 +233100.9,UV,14.1,20.2,,U,,,,,,05606 10031,,,1998.859,,2MASS,,OO    Tau,
780356,V0356 Tau *,034911.03 +242051.4,UV,13.1,20.2,,U,,,,,M3,10031 07328,,,2000.023,,2MASS,,V0356 Tau,
780639,V0639 Tau *,034609.59 +224237.4,UV,15.2,20.2,,p,,,,,,06893 10031,,,1998.881,,2MASS,,V0639 Tau,
780748,V0748 Tau *,034558.60 +221956.5,UV,16.2,20.2,,p,,,,,,08554 10031,,,1989.959,,GSC2.2,,V0748 Tau,
780853,V0853 Tau,034512.43 +224151.1,UV,14.9,20.2,,U,,,,,,68241 68241,,,1998.859,,2MASS,,V0853 Tau,
830067,AN    UMa *,110425.65 +450313.8,E+XRM,14.9,20.2,,B,42891.397,,0.0797522,,pec(e+cont),09871 09472,,-0.062,2000,,NPM,,AN    UMa,
860548,V0548 Vir,142006.48 -010104.1,RRAB,19.2,20.2,,V,51338.6598,,0.545176,15,,80159 USNO,,,1955.39,,A2.0,,V0548 Vir,
520774,V0774 Lyr,191511.82 +404910.5,EW,19.31,20.15,20.1,*,55275.6128,,0.2402,,,81247 81247,,,1951.672,,A20,,V0774 Lyr,
180220,HT    Cas *,011012.96 +600436.3,UGSU+EA,10.7,20.12,,V,43727.93729,,0.073647203,10,pec(UG)+M5,N0344 72085,,,1952.71,,A2.0,UGSU+EA,HT    Cas,
401449,V1449 Her,183556.28 +222640.0,UG,16.1,20.1,,*,,,,,pec(UG),81238 81238,,,1990.568,,G23,,V1449 Her,
591195,V1195 Oph *,170021.67 -205333.5,NR,16.3,20.1,,p,36888,1959,-1051,,,05455 10203,,,1976.478,,GCVS,,V1195 Oph,
591744,V1744 Oph *,171638.90 -204952.9,M,17.3,20.1,,p,35960,,244.5,,,05455 USNO,,,1954.585,,A2.0,,V1744 Oph,
591848,V1848 Oph,171911.66 -193747.2,M,17.5,20.1,,p,35960,,,,M7,05455 09473,,,1980.896,,A2.0,,V1848 Oph,
120116,CP    Cnc *,084322.   +191204. ,UV,16.4,20.1,,p,,,,,,70013,,,,,,UV,CP    Cnc,
210216,HP    Cet,023322.59 +005100.3,NL,19.4,20.1,,V,,,,,pec(e),80119 USNO,,,1984.5,,B1.0,,HP    Cet,
270036,UW    CrB,160545.87 +255145.8,X+E,18.87,20.1,,R,,,,,,71136 71137,,,1950.369,,A2.0,,UW    CrB,
