NNo,GCVS,RA,Dec,RA (hourangle),Type,Max,Min I,Min II,,Epoch,Year,Period,M-m,Spectrum,References,Other desig. p.m.(as/yr),,Epoch,,Ident.,New type,GCVS
120080,BB    Cnc *,130.1583333,19.4963889,8.67722222,UV,15.7,21.8,,U,,,,,M,5520,,,,,,UV,BB    Cnc
70022,SV    Ari,51.2639167,19.8313611,3.417594447,N,12,22.1,,p,17156,1905,,,,72118 72118,,,1994.753,,Lit.,N,SV    Ari
120155,EL    Cnc *,129.0458333,20.0261111,8.603055553,UV,17.9,21,,p,,,,,,70013,,,,,,UV,EL    Cnc
120083,BE    Cnc *,130.3416667,20.2116667,8.689444447,UV,16.6,21.6,,U,,,,,,3924,,,,,,UV,BE    Cnc
120126,CZ    Cnc,126.3426667,20.3663333,8.422844447,UV,13.5,23,,p,,,,,M,08354 N0337,,,1998.023,,2MASS,UV,CZ    Cnc
780701,V0701 Tau *,56.0082083,21.9520556,3.733880553,UG,15,21,,p,,,,,,07484 07484,,,1990.8,,B1.0,,V0701 Tau
90039,UZ    Boo,221.0051667,22.0151667,14.73367778,UG,11,20.4,,V,,,-2191,,,N0054 72085,,,1992.193,,GSC2.3,UGWZ,UZ    Boo
780607,V0607 Tau *,55.1810833,22.2519722,3.678738887,UV,15,20.5,,p,,,,,,06893 10031,,,1998.752,,2MASS,,V0607 Tau
780748,V0748 Tau *,56.4941667,22.3323611,3.76627778,UV,16.2,20.2,,p,,,,,,08554 10031,,,1989.959,,GSC2.2,,V0748 Tau
780862,V0862 Tau,56.8155417,22.3547778,3.78770278,UV,15.9,21,,U,,,,,,68246 68236,,,1997.824,,2MASS,,V0862 Tau
780455,V0455 Tau *,56.84,22.3698611,3.789333333,UV,14,20.5,,U,,,,,,10031 10031,,,1997.824,,2MASS,,V0455 Tau
780741,V0741 Tau *,55.9967083,22.5726111,3.733113887,UV,16.1,20.5,,p,,,,,,08560 10031,,,1998.859,,2MASS,,V0741 Tau
780341,V0341 Tau *,57.0237917,22.636,3.801586113,UV,12,21,,U,,,,,,07328 10031,,,1997.824,,2MASS,,V0341 Tau
780853,V0853 Tau,56.3017917,22.6975278,3.75345278,UV,14.9,20.2,,U,,,,,,68241 68241,,,1998.859,,2MASS,,V0853 Tau
780639,V0639 Tau *,56.5399583,22.7103889,3.769330553,UV,15.2,20.2,,p,,,,,,06893 10031,,,1998.881,,2MASS,,V0639 Tau
780661,V0661 Tau *,57.146625,22.8951389,3.809775,UV,15.3,22,,U,,,,,,06894 06894,,,1997.824,?,2MASS,,V0661 Tau
