AGN,AGN
Galaxy,AGN
QSO,AGN
Nova,SN
SLSN-I,SN
SLSN-II,SN
SN,SN
SN I,SN
SN Ia,SN
SN Ia-91bg-like,SN
SN Ia-91T-like,SN
SN Ia-CSM,SN
SN Ia-pec,SN
SN Iax[02cx-like],SN
SN Ib,SN
SN Ib/c,SN
SN Ibn,SN
SN Ib-pec,SN
SN Ic,SN
SN Ic-BL,SN
SN Ic-pec,SN
SN II,SN
SN IIb,SN
SN IIL,SN
SN IIn,SN
SN IIn-pec,SN
SN IIP,SN
SN II-pec,SN
CV,VS
LBV,VS
Varstar,VS
