,id,ra,dec,transient_label,host_label,offset,redshift,transient_mag,u,g,r,i,z
1986,71920198823424873867,238.87937000000002,41.94833,SN,0,0.0562506326269108,0.0,17.3,22.820220000000003,22.1646,22.346,23.82147,22.0052
1990,1526609250480344152,176.01246,55.691,SN,1,0.0831128111002857,0.129189,18.8,20.163510000000002,19.42916,19.05089,18.72326,18.59092
1991,65716911241625619960,4.7083699999999995,-10.36128,SN,1,0.0430474575694408,0.032587,17.1,16.79512,15.47189,14.762920000000001,14.43574,14.3066
1992,38813354166356711988,18.679920000000003,0.90769,SN,1,0.0102464786871702,0.493696,,22.57377,22.79844,21.512439999999998,21.33155,21.85979
1995,23415687541777826498,39.54837,-1.31253,SN,0,0.0715325911918335,0.0,17.5,23.724439999999998,24.41101,24.36655,22.6512,22.82691
1997,99107626559668670602,1.37642,-1.20456,SN,1,0.0027719128453081603,0.362645,21.5,23.53621,22.85695,22.43188,22.27684,22.721020000000003
1999,88794893945231177904,255.97346000000002,31.501720000000002,SN,0,0.135412004779976,0.0,16.5,23.64894,22.63058,23.53108,23.92367,22.82689
2006,715310628085713814,183.40367,46.493359999999996,SN,1,0.0359127903165499,0.028623000000000003,16.0,16.23498,14.78471,14.10634,13.727570000000002,13.46429
2010,18162853798010911861,37.5985,-9.20556,SN,1,0.117998847897498,-9999.0,,27.84882,23.979229999999998,19.26543,18.783739999999998,19.03671
2013,25116623479365498915,353.82742,12.92553,SN,0,0.12080978969227199,0.0,18.9,22.3115,21.70701,21.85797,23.11366,22.8269
2016,70670573107472513101,8.64087,-1.21753,SN,1,0.104598875470267,0.086865,19.2,19.1647,17.24034,16.284660000000002,15.83199,15.485079999999998
2020,34684555202147909349,141.00229,5.20694,SN,0,0.129383769637711,0.0,15.6,21.21238,21.07541,21.104879999999998,21.59056,21.76667
2024,7404582375369537167,196.83529,35.78439,SN,0,0.127481089081912,0.0,18.1,22.42771,23.917460000000002,24.38909,24.3618,22.5205
2025,28933011911661004829,32.17329,-3.56961,SN,1,0.0833151918228282,0.42113900000000004,,23.5975,22.99409,22.65479,22.24361,22.02024
2027,15147820521067849580,257.91796,36.50103,SN,1,0.0160947275830699,-9999.0,19.4,24.82915,21.247870000000002,20.834310000000002,20.44831,23.84393
2031,93951880648756272736,269.82658,45.87556,SN,0,0.137042101977156,0.0,18.3,24.93082,24.90532,22.81119,24.91305,23.24547
2040,61755688615130988068,14.389870000000002,-1.3886100000000001,SN,1,0.11901436811732101,0.667942,17.6,24.58521,23.25023,22.69363,23.27929,22.8269
2059,52564286475867538574,18.59475,1.12933,SN,0,0.00718794509425215,0.0,,23.81038,23.382720000000003,22.404339999999998,22.169320000000003,22.375999999999998
2066,27867294506941385633,346.61429,9.89517,SN,1,0.114039956956612,0.130847,19.5,21.096120000000003,19.71516,19.0588,18.6906,18.56511
2072,23503719139538963647,33.74158,0.6025,SN,1,0.0202894348003348,0.188861,21.2,20.408070000000002,19.49483,18.90371,18.60055,18.55728
2076,6799653095642487628,223.37425,18.59197,SN,1,0.0490559207164678,0.13514400000000001,21.9,20.66966,19.22243,18.41778,18.06304,17.723670000000002
2086,12768743467033815894,14.1955,-1.59758,SN,0,0.0459611368361228,0.0,17.5,21.9587,21.95652,21.744989999999998,21.186329999999998,22.8269
2090,25732812228640261237,348.43717000000004,-0.06763999999999999,SN,1,0.0751556600235087,0.18099500000000002,21.8,20.21635,19.060779999999998,18.27104,17.895410000000002,17.63785
2096,46736536938173437009,345.44954,15.5865,SN,0,0.20812704505833302,0.0,15.9,24.55234,23.17278,22.95531,23.06322,22.84189
2097,34613740604672434312,114.03753999999999,47.45431,SN,1,0.0129406686807284,0.153337,18.3,22.62856,21.53579,21.01023,20.75339,20.66236
2108,64387465398643535948,316.76554,0.7230800000000001,SN,1,0.0464566934363725,0.150971,20.5,20.44908,19.39077,18.75998,18.27112,18.117379999999997
2117,23404858360454634114,241.38821000000002,17.59256,SN,1,0.17597903275601398,0.056916999999999995,18.9,17.53063,15.552229999999998,14.58836,14.1098,13.739770000000002
2118,88660811508093248554,181.71525,26.96017,SN,1,0.0109190381668934,0.080872,17.8,20.05828,18.98391,18.55317,18.324579999999997,18.382279999999998
2122,30324393553742679358,7.35279,0.8315,SN,1,0.033833772714362005,0.157894,21.2,19.853939999999998,18.7188,18.00238,17.60914,17.351370000000003
2136,9516825827930402707,124.31187,1.20192,SN,1,0.00582632737009481,0.29886,17.1,21.7156,21.16731,21.014120000000002,20.9551,21.12164
2141,64048255356382641125,318.90242,-0.32142,SN,1,0.0267555464868518,0.172438,22.8,20.74819,19.243489999999998,18.329629999999998,17.82565,17.61035
2143,7933272290826041938,36.40875,0.70958,SN,1,0.0561706337364723,0.382385,23.2,22.37107,20.26055,18.5361,17.832629999999998,17.47624
2145,73604027193608914509,333.15457999999995,0.79672,SN,1,0.159116933232814,0.5545760000000001,22.3,24.51889,24.75463,23.16565,21.30708,20.91307
2149,57741633967198195084,32.79858,0.6958300000000001,SN,1,0.0536879748381237,0.311763,23.3,22.66086,20.20394,18.57156,17.977520000000002,17.54927
2166,79494540534613904542,32.14175,29.237309999999997,SN,0,0.0439166025692671,0.0,19.5,22.55272,21.70223,21.73538,24.3618,22.8269
2174,31148986652352435045,5.40642,-1.00997,SN,1,0.0957050033698797,0.092227,19.5,19.426560000000002,17.39167,16.42801,16.00158,15.677179999999998
2175,53587216628753975597,31.850579999999997,-3.86533,SN,1,0.0098473027131368,0.40717600000000004,,24.54406,23.01857,21.20974,20.64374,20.26868
2186,11132572062350644990,121.6015,1.03586,SN,1,0.0657457528190277,-9999.0,15.3,15.671389999999999,13.86176,12.9953,12.530560000000001,12.1837
2193,59227701917969630341,333.29271,1.05056,SN,0,0.0843946894455223,0.0,22.1,25.09171,23.91741,22.55754,21.05235,20.27794
2221,70590539734654132497,53.45404,0.70933,SN,1,0.0233792155396484,0.482754,22.4,23.59101,23.5407,22.12884,22.25123,22.1291
2228,60643339048246950670,316.64242,-0.64794,SN,1,0.0415561421810628,0.255197,23.2,21.412129999999998,20.48019,19.76847,19.67272,19.72295
2231,35382778845275004501,165.64287,50.58292,SN,0,0.0600321789737581,0.0,16.8,22.20494,21.88991,21.912779999999998,23.11721,21.888
2235,21349676679194718385,3.28979,1.14553,SN,1,0.0121577462233464,0.360415,22.2,23.534670000000002,22.11344,20.61694,20.0724,19.82021
2250,91587582326188363411,168.73671000000002,33.82658,SN,1,0.0562130620710767,0.022661,17.4,16.380679999999998,14.8698,14.280520000000001,13.96381,13.7808
2257,22287641172972014424,55.460330000000006,8.156939999999999,SN,0,0.00542056364201444,0.0,17.4,18.803739999999998,17.969070000000002,17.84214,17.80845,17.63796
2259,4501880791349198473,222.34283,63.268390000000004,SN,1,0.151640743394942,0.023959,16.5,16.11429,14.27801,13.519870000000001,13.11476,12.85465
2263,33160385892482006215,322.95599999999996,-1.06939,SN,0,0.0982358628251024,0.0,22.5,22.20034,21.16331,20.96315,20.87575,20.5249
2266,69830875115014051910,333.43158,0.39631,SN,1,0.00977680385339633,0.17152,22.3,22.87378,21.2471,20.71815,20.34212,20.02412
2267,43888685621877689266,12.45842,32.28244,SN,1,0.0298969147802423,0.045967,18.2,15.974479999999998,14.41045,13.569770000000002,13.126660000000001,13.32231
2272,13474258990712737484,150.39996000000002,21.61167,SN,0,0.0264778637184857,0.0,18.0,21.9922,21.45588,21.30584,21.5851,20.75831
2276,25847909619556790547,241.56021,18.415,SN,1,0.0546225223111666,0.037283,16.8,16.88665,15.265529999999998,14.53859,14.12151,13.806239999999999
2277,48479922177720050951,26.12071,0.22978,SN,1,0.00691247536465581,0.17449800000000001,21.5,20.096,18.6701,17.78616,17.33367,17.09299
2279,86846878419943086202,8.905710000000001,0.37003,SN,1,0.076111968594697,0.20939499999999997,22.3,21.80986,19.71659,18.40384,17.852439999999998,17.41447
