,id,ra,dec,transient_label,host_label,offset,redshift,transient_mag,u,g,r,i,z
4,97066031492326793000,21.110870000000002,-2.14057,SN,1,0.0940300404108496,0.065035,17.39,18.97515,17.80783,17.37733,17.08062,17.01455
10,96120107624487135796,217.04737000000003,16.48112,AGN,1,0.00489465314260469,0.316319,17.724,19.92654,19.36465,19.44887,18.93818,18.937929999999998
11,75951366263395675567,192.25633,5.82714,SN,1,0.0110272080149924,-9999.0,17.91,23.33435,22.11275,22.17373,22.58566,24.33452
12,57671725164311935325,181.24362,32.39143,SN,0,0.050861927852488005,0.0,17.8,23.685489999999998,22.71595,24.26726,21.377589999999998,22.82689
20,84199270207741346005,18.95862,34.6155,SN,1,0.166172411504757,0.143131,19.1,20.41301,18.989639999999998,17.925910000000002,17.3538,16.91862
22,10664663514594021176,155.54075,10.439969999999999,SN,1,0.0430559219543178,0.09740599999999999,19.6,19.20216,18.159779999999998,17.70583,17.34819,17.18974
23,32315429958859433630,214.83746000000002,-20.95172,SN,1,0.0698828262938243,0.012489,16.8,16.30465,14.51874,13.59269,13.109910000000001,12.671660000000001
25,39412570487942584109,166.89786999999998,22.85127,SN,1,0.00872561592286596,0.044642,16.92,16.709329999999998,16.18758,15.990039999999999,15.8794,15.885079999999999
27,12686730257978543420,113.35611999999999,37.62911,VS,0,0.004701893033613539,0.0,15.68,22.12629,21.889870000000002,22.08975,22.47853,21.72241
37,5969975273599340930,310.19525,32.79639,VS,1,0.29946947351578695,-9999.0,17.81,14.51573,14.67573,15.032,14.27863,12.89831
47,60273828342059320749,316.06608,-6.34014,SN,1,0.00988911180083471,0.227102,19.5558,22.78354,20.51437,19.16245,18.45949,18.00251
53,88982150892903738742,19.82496,44.123470000000005,SN,1,0.0251280198132035,0.12680999999999998,19.383,20.05893,19.1522,18.7561,18.485429999999997,18.554920000000003
55,21143712288081968776,170.72871,16.58972,VS,1,0.012612074300611,0.024907,13.8,13.863339999999999,12.79665,12.44011,12.20235,12.07429
57,57088270718013159015,260.68525,62.162330000000004,SN,0,0.08115406540044799,0.0,17.8,21.71331,21.10096,21.11334,21.0784,22.82692
66,95837969021383103009,197.99167,14.566379999999999,SN,1,0.0461630657934615,0.035953,16.9,17.5244,16.218729999999997,15.53271,15.171289999999999,14.8571
76,40368607312026788248,170.83129,5.79991,SN,1,0.20451400888849697,0.07410499999999999,19.77,19.40062,17.55347,16.65738,16.24824,15.94859
83,8575180212509327059,22.26925,40.36371,SN,1,0.0523631514445522,0.051031,18.68,18.494770000000003,16.52577,15.633029999999998,15.209570000000001,14.88444
84,77558755916995509672,10.10154,41.06756,VS,1,0.44606864548272207,0.754879,15.8,23.73705,24.04797,22.6129,21.00864,19.899
85,57936133410654710766,206.46146000000002,26.7965,SN,1,0.0351640024700478,0.036496,16.7,18.88813,17.845679999999998,17.527279999999998,17.32392,17.18139
86,56317310674063486153,241.84878999999998,10.42783,OTHER TRANSIENT,0,0.126202077738043,0.0,20.58,21.874979999999997,21.89661,21.67793,22.654529999999998,22.409010000000002
93,13611691307646410706,313.93596,-15.579479999999998,SN,1,0.0559116582675183,0.27779499999999996,19.45,24.316979999999997,21.3146,20.228170000000002,19.752489999999998,19.72731
95,83462259255528245326,167.68567,4.84753,SN,1,0.0972309408803697,0.025223,15.43,16.52897,14.761479999999999,13.87684,13.399329999999999,12.99323
