,id,ra,dec,transient_label,host_label,offset,redshift,transient_mag,u,g,r,i,z
10,96120107624487135796,217.04737000000003,16.48112,AGN,1,0.00489465314260469,0.316319,17.724,19.92654,19.36465,19.44887,18.93818,18.937929999999998
15,97576300398013313373,21.484379999999998,16.59548,SN,1,0.0561842851983569,0.020413,17.2,24.63465,22.44517,21.85349,22.74064,22.82689
20,84199270207741346005,18.95862,34.6155,SN,1,0.166172411504757,0.143131,19.1,20.41301,18.989639999999998,17.925910000000002,17.3538,16.91862
26,42735469155902736853,175.48404,12.5861,SN,1,0.0323726009324666,0.032195999999999995,17.1,17.259179999999997,15.47066,14.644929999999999,14.263379999999998,13.952670000000001
27,12686730257978543420,113.35611999999999,37.62911,VS,0,0.004701893033613539,0.0,15.68,22.12629,21.889870000000002,22.08975,22.47853,21.72241
37,5969975273599340930,310.19525,32.79639,VS,1,0.29946947351578695,-9999.0,17.81,14.51573,14.67573,15.032,14.27863,12.89831
40,52076718364049068168,189.18004,26.11352,SN,1,0.05511084242661099,0.030805000000000003,15.9,18.557370000000002,17.58655,17.08941,16.8545,16.62191
51,51479572637848959214,167.52617,8.72055,SN,1,0.0168564755222887,0.125304,18.43,22.21859,20.824089999999998,20.43487,20.191979999999997,20.23637
52,88018862028125393534,217.93325,45.77799,SN,1,0.0305084081228568,0.08472400000000001,17.8,19.19448,17.6978,16.91928,16.46807,16.13007
55,21143712288081968776,170.72871,16.58972,VS,1,0.012612074300611,0.024907,13.8,13.863339999999999,12.79665,12.44011,12.20235,12.07429
60,4263902664748110897,21.19525,9.7551,SN,1,0.11990057101945299,0.9639409999999999,19.0,24.15079,19.15344,18.488020000000002,21.31745,18.07153
65,62486922751659400152,183.01529,6.653969999999999,SN,1,0.0126960271697178,0.11739200000000001,20.19,21.63875,19.695079999999997,18.812920000000002,18.4324,18.06982
71,22517695718785188578,237.51442000000003,42.0883,SN,1,0.0222056423440062,0.131254,17.0,22.78629,21.195629999999998,20.783620000000003,20.49673,20.16112
84,77558755916995509672,10.10154,41.06756,VS,1,0.44606864548272207,0.754879,15.8,23.73705,24.04797,22.6129,21.00864,19.899
86,56317310674063486153,241.84878999999998,10.42783,OTHER TRANSIENT,0,0.126202077738043,0.0,20.58,21.874979999999997,21.89661,21.67793,22.654529999999998,22.409010000000002
87,7657493068426093392,137.4085,48.661190000000005,SN,1,0.031956446237996004,0.292054,18.32,22.31021,21.50827,21.28681,21.19657,20.90396
97,14311804726402129138,228.34867000000003,27.77732,SN,1,0.0565943586293801,0.551979,20.65,23.976010000000002,23.05049,22.27386,22.46722,22.3846
98,63804989256854394000,323.54296,-1.8881299999999999,AGN,0,0.000817329147045102,0.0,16.88,18.84194,18.178320000000003,17.64241,17.26174,16.89375
109,89079133310939034493,163.04667,58.440169999999995,SN,0,0.0444874903039585,0.0,19.4,21.83106,21.616999999999997,23.80345,24.3618,22.82689
110,81641019865163057152,236.38983,30.145429999999998,SN,0,0.051477101054425996,0.0,17.59,23.31164,23.09439,22.37379,21.31725,22.3641
111,21119997915412778964,225.3155,58.061580000000006,SN,1,0.0315395571077471,0.766521,18.79,22.28262,22.10424,22.40256,23.148120000000002,22.52649
133,9983261515192115607,217.12921,37.06777,SN,1,0.0175500309841951,0.032457,18.944000000000003,18.09976,16.96095,16.52542,16.29518,16.05625
134,39144595671753826187,329.32596,3.13809,SN,1,0.0302904442655264,0.11241400000000001,20.6531,19.204420000000002,18.09299,17.48239,17.08786,16.85458
144,44683518043373086726,24.92742,20.578879999999998,SN,1,0.0235849830866891,0.378972,19.7,26.3643,21.14316,21.24205,20.88953,19.64015
151,53573801553292246506,345.01775,17.84817,SN,1,0.0486543188893709,0.0133,18.067,22.64601,21.321460000000002,21.7706,21.50381,22.5409
157,17860911666418513420,257.236,27.39807,AGN,1,0.00524818537821266,0.072028,18.33,19.21676,17.21658,16.30145,15.89216,15.58177
158,25011676747367757693,31.71317,14.722560000000001,SN,1,0.0387754815125119,0.036306,17.0,16.8904,15.45454,14.73065,14.3387,14.054789999999999
162,88988925391309194079,291.91083,61.946830000000006,SN,1,0.0334202245435567,0.034245,17.2,18.04724,16.379929999999998,15.683979999999998,15.31369,14.97725
165,34872382979825551282,111.88183000000001,33.77662,VS,1,0.0130931036759769,0.40229000000000004,15.3,22.93439,22.10247,21.76153,21.81723,22.89992
170,10481964171827677740,14.69392,13.65431,SN,1,0.17993444928667898,0.074994,18.06,20.29636,18.20126,17.580289999999998,17.17759,16.942120000000003
178,43210774785140533108,338.9815,20.32016,SN,1,0.0107281296460837,-9999.0,17.6,16.66133,16.84666,18.45116,24.37465,18.52702
186,8094697642794822329,139.187,18.95447,SN,0,0.0524804301093285,0.0,18.0,24.22511,24.377489999999998,21.909689999999998,24.01616,22.37264
187,29561844692075549182,225.48887000000002,25.7711,SN,1,0.0183320512661625,0.0523,17.8,18.3434,16.748170000000002,15.96233,15.545020000000001,15.19803
194,49795964699253287427,152.61712,2.23049,SN,0,0.0425921033485376,0.0,17.9,21.95307,21.40727,20.99095,21.21075,21.25437
196,90268960441139831973,176.16879,13.56225,SN,1,0.154291850036202,0.10697899999999999,19.31,19.97774,19.18161,18.87735,18.652379999999997,18.84899
198,18486109078164793644,210.51292,46.22617,VS,0,0.007548133088587259,0.0,13.2,19.85517,19.49609,19.635279999999998,19.89335,20.10418
200,26652698219965249418,49.472120000000004,-7.300269999999999,SN,1,0.132736381033233,-9999.0,17.81,16.39793,15.765139999999999,16.24544,16.960279999999997,22.888460000000002
