,id,ra,dec,transient_label,host_label,offset,redshift,transient_mag,u,g,r,i,z
10,96120107624487135796,217.04737000000003,16.48112,AGN,1,0.00489465314260469,0.316319,17.724,19.92654,19.36465,19.44887,18.93818,18.937929999999998
11,75951366263395675567,192.25633,5.82714,SN,1,0.0110272080149924,-9999.0,17.91,23.33435,22.11275,22.17373,22.58566,24.33452
12,57671725164311935325,181.24362,32.39143,SN,0,0.050861927852488005,0.0,17.8,23.685489999999998,22.71595,24.26726,21.377589999999998,22.82689
20,84199270207741346005,18.95862,34.6155,SN,1,0.166172411504757,0.143131,19.1,20.41301,18.989639999999998,17.925910000000002,17.3538,16.91862
27,12686730257978543420,113.35611999999999,37.62911,VS,0,0.004701893033613539,0.0,15.68,22.12629,21.889870000000002,22.08975,22.47853,21.72241
31,54103669500462489793,274.89821,23.78589,SN,1,0.0815291662601076,0.02924,17.6,17.430039999999998,15.55589,14.73431,14.3123,14.054770000000001
33,8466058115058025398,141.77841999999998,12.70098,SN,0,0.133450277236066,0.0,18.78,24.423289999999998,24.72598,23.28748,21.98134,21.78373
37,5969975273599340930,310.19525,32.79639,VS,1,0.29946947351578695,-9999.0,17.81,14.51573,14.67573,15.032,14.27863,12.89831
47,60273828342059320749,316.06608,-6.34014,SN,1,0.00988911180083471,0.227102,19.5558,22.78354,20.51437,19.16245,18.45949,18.00251
51,51479572637848959214,167.52617,8.72055,SN,1,0.0168564755222887,0.125304,18.43,22.21859,20.824089999999998,20.43487,20.191979999999997,20.23637
52,88018862028125393534,217.93325,45.77799,SN,1,0.0305084081228568,0.08472400000000001,17.8,19.19448,17.6978,16.91928,16.46807,16.13007
54,87767104502556407658,29.03892,17.64144,SN,1,0.10972404429839998,0.038363,19.3,16.2898,14.965060000000001,14.42973,14.072370000000001,13.870820000000002
55,21143712288081968776,170.72871,16.58972,VS,1,0.012612074300611,0.024907,13.8,13.863339999999999,12.79665,12.44011,12.20235,12.07429
59,39955555060683450771,49.83862,41.49024,SN,0,1.4445706560983402,0.0,16.5,18.80668,17.27967,16.64702,16.396729999999998,16.28709
64,68756388208374315452,141.23821,40.39865,SN,0,0.0318872516083904,0.0,17.7,20.47709,20.104689999999998,20.28939,20.46552,20.97246
67,59676946791881075318,179.48237,-3.46023,SN,1,0.0225063542740662,0.11253900000000001,20.38,19.8929,18.885460000000002,18.39989,18.06185,17.844720000000002
68,17956909764801925610,163.97429,36.86333,SN,1,0.273407016802948,0.14293,18.0,24.961879999999997,25.816110000000002,22.96886,22.93279,23.238410000000002
73,73439159400132545613,100.10292,64.55076,SN,0,0.0757533204490423,0.0,17.3961,23.67619,22.89415,22.3434,22.46494,20.86055
84,77558755916995509672,10.10154,41.06756,VS,1,0.44606864548272207,0.754879,15.8,23.73705,24.04797,22.6129,21.00864,19.899
86,56317310674063486153,241.84878999999998,10.42783,OTHER TRANSIENT,0,0.126202077738043,0.0,20.58,21.874979999999997,21.89661,21.67793,22.654529999999998,22.409010000000002
98,63804989256854394000,323.54296,-1.8881299999999999,AGN,0,0.000817329147045102,0.0,16.88,18.84194,18.178320000000003,17.64241,17.26174,16.89375
102,95920204010021100102,215.18192000000002,13.69576,SN,1,0.162458932791404,0.018002,17.9,16.42517,15.35896,15.0454,14.887770000000002,14.779329999999998
105,45505276094469225242,222.69967000000003,54.408,SN,1,0.13139550735976802,-9999.0,18.0,19.516820000000003,16.81948,23.27562,21.65944,21.48402
108,26027763359345827464,135.41246,20.74934,SN,1,0.13448626679503,0.31350500000000003,18.11,24.42606,23.93102,22.5193,23.74524,22.57648
119,81018936634858984349,99.25811999999999,44.25667,SN,1,0.0167349070747489,0.166844,18.5607,21.2139,20.47116,19.936989999999998,19.50238,19.43125
123,70713415786579882853,333.40821,29.138270000000002,SN,1,0.00752491790059515,0.150522,20.1567,23.267529999999997,21.426070000000003,20.96419,20.56484,20.19961
125,92968864686236431372,249.24025,63.969930000000005,SN,1,0.0727804208552212,0.050362,18.67,23.90625,20.8244,20.50433,20.44112,20.77806
127,57950023235433122499,245.78262,39.31496,SN,0,0.0204282658538717,0.0,17.409000000000002,22.63249,22.579320000000003,23.64452,24.36179,22.82689
144,44683518043373086726,24.92742,20.578879999999998,SN,1,0.0235849830866891,0.378972,19.7,26.3643,21.14316,21.24205,20.88953,19.64015
147,16437361604659975552,122.62886999999999,5.26032,SN,1,0.0386790047889897,0.040916,18.9,17.46029,15.74257,15.00884,14.62641,14.31574
154,82924039039303858165,138.59933,49.59247,SN,1,0.00797434597296982,0.077455,17.6,20.8715,19.965310000000002,19.71997,19.53138,19.43785
157,17860911666418513420,257.236,27.39807,AGN,1,0.00524818537821266,0.072028,18.33,19.21676,17.21658,16.30145,15.89216,15.58177
159,66471314664064936667,118.088,12.05814,SN,1,0.0119713147046162,0.193487,20.63,22.66199,21.3553,20.8356,20.66315,20.58226
165,34872382979825551282,111.88183000000001,33.77662,VS,1,0.0130931036759769,0.40229000000000004,15.3,22.93439,22.10247,21.76153,21.81723,22.89992
177,2197653016482339525,43.21262,42.20715,SN,1,0.100039463397604,0.043312,17.5,16.87154,13.19595,12.237,11.79392,11.787360000000001
183,92433584213434172394,252.03821000000002,46.09005,SN,1,0.00784697563591707,0.534885,18.42,22.415029999999998,22.06639,22.45521,22.20945,21.92135
188,75512617848597047293,306.43629,-21.66108,SN,1,0.0527785365527978,0.055096000000000006,18.92,18.228289999999998,16.72789,16.040789999999998,15.65867,15.3752
192,60589170497178311542,228.62932999999998,6.6873,SN,0,0.0750050617499108,0.0,18.69,25.24821,23.397270000000002,22.223760000000002,21.59467,21.21656
194,49795964699253287427,152.61712,2.23049,SN,0,0.0425921033485376,0.0,17.9,21.95307,21.40727,20.99095,21.21075,21.25437
198,18486109078164793644,210.51292,46.22617,VS,0,0.007548133088587259,0.0,13.2,19.85517,19.49609,19.635279999999998,19.89335,20.10418
205,17199656360481169525,137.84579,23.8579,SN,1,0.102078348716125,0.062836,20.59,18.23517,16.76396,16.07599,15.703560000000001,15.44754
