,id,ra,dec,transient_label,host_label,offset,redshift,transient_mag,u,g,r,i,z
0,86212673025687336634,228.47625,4.75726,SN,1,0.00669345446220673,0.065089,17.2,19.95131,18.30361,17.7136,17.42514,17.19983
10,96120107624487135796,217.04737000000003,16.48112,AGN,1,0.00489465314260469,0.316319,17.724,19.92654,19.36465,19.44887,18.93818,18.937929999999998
13,53912425587759911728,20.792579999999997,39.074740000000006,SN,1,0.020395831491684,-9999.0,18.43,21.770220000000002,21.89336,23.300629999999998,24.36179,22.82684
22,10664663514594021176,155.54075,10.439969999999999,SN,1,0.0430559219543178,0.09740599999999999,19.6,19.20216,18.159779999999998,17.70583,17.34819,17.18974
26,42735469155902736853,175.48404,12.5861,SN,1,0.0323726009324666,0.032195999999999995,17.1,17.259179999999997,15.47066,14.644929999999999,14.263379999999998,13.952670000000001
27,12686730257978543420,113.35611999999999,37.62911,VS,0,0.004701893033613539,0.0,15.68,22.12629,21.889870000000002,22.08975,22.47853,21.72241
37,5969975273599340930,310.19525,32.79639,VS,1,0.29946947351578695,-9999.0,17.81,14.51573,14.67573,15.032,14.27863,12.89831
38,41309433928511443753,80.19617,3.2568200000000003,SN,1,0.12005071750770802,-9999.0,17.17,22.772579999999998,19.69601,18.149910000000002,17.48985,26.4737
41,94464947235450270156,178.55992,11.76127,SN,0,0.0983095251704539,0.0,19.54,21.677039999999998,22.02047,24.80185,23.85132,22.82708
42,31706527927884280253,158.32333,16.40754,SN,1,0.0882282059599421,-9999.0,17.53,21.58941,20.68267,21.02251,24.3618,22.8269
44,99621627991664490589,5.2145,-15.52029,SN,1,0.0734324159967804,0.073835,18.86,18.657510000000002,16.72946,15.83315,15.43184,15.12395
49,46238376141983645767,167.88837,9.07214,SN,1,0.197838583388452,0.067695,20.35,18.40795,16.617060000000002,15.72125,15.28391,14.923979999999998
50,32422829319554822621,121.86425,25.12915,SN,1,0.10863199292301699,0.014525,16.7,17.47765,16.37908,15.81901,15.644789999999999,15.500779999999999
54,87767104502556407658,29.03892,17.64144,SN,1,0.10972404429839998,0.038363,19.3,16.2898,14.965060000000001,14.42973,14.072370000000001,13.870820000000002
55,21143712288081968776,170.72871,16.58972,VS,1,0.012612074300611,0.024907,13.8,13.863339999999999,12.79665,12.44011,12.20235,12.07429
58,17437097040054001503,166.70775,14.487779999999999,SN,0,0.0973252234886245,0.0,18.52,21.06363,21.07311,21.709229999999998,21.32309,22.73369
68,17956909764801925610,163.97429,36.86333,SN,1,0.273407016802948,0.14293,18.0,24.961879999999997,25.816110000000002,22.96886,22.93279,23.238410000000002
71,22517695718785188578,237.51442000000003,42.0883,SN,1,0.0222056423440062,0.131254,17.0,22.78629,21.195629999999998,20.783620000000003,20.49673,20.16112
