,id,ra,dec,transient_label,survey,host_label,offset,redshift,transient_mag,u,g,r,i,z
1700,90295717756047770920,47.88837,-0.74631,SN,TNS,1,0.0567459206164861,-9999.0,18.8,18.06415,18.07154,17.702560000000002,17.60437,25.09832
1702,33325408576228115828,304.79254,-1.0645,SN,TNS,1,0.0204638002269871,0.25161999999999995,20.2,23.14472,21.850929999999998,21.78208,21.00903,21.060660000000002
1706,60597691266985577053,148.85712,-1.47258,SN,TNS,1,0.00964151469067328,0.077655,18.5,23.19371,21.68003,21.50853,21.58227,22.02036
1717,37518938802486906796,32.40354,-4.8645,SN,TNS,1,0.0173337500674356,0.5926939999999999,,24.1845,24.423029999999997,22.99757,22.10135,22.029989999999998
1720,45587746343554368925,12.24362,0.47694,SN,TNS,1,0.031671405725113996,0.354606,22.6,23.647289999999998,22.085620000000002,21.280739999999998,21.07698,20.63266
1724,30525471624783223400,17.21675,1.19789,SN,TNS,1,0.0177851972070715,0.366634,22.3,23.8981,23.20328,21.7569,21.27027,21.045379999999998
1725,2168498232548676572,31.62867,-4.16528,SN,TNS,1,0.036026547000559996,0.432283,,22.62489,21.88428,20.80992,20.35295,20.23078
1726,22529603152271955025,15.73475,0.18311,SN,TNS,1,0.00626085018046475,0.275567,21.7,24.03492,21.36195,20.16688,19.78518,19.61383
1730,10574285359685913285,212.12017000000003,7.0575600000000005,SN,TNS,0,0.022584895515214,0.0,19.1,22.4986,23.02413,22.76737,24.3618,22.82689
1733,29765221823026251983,305.5885,6.43064,SN,TNS,0,0.0129687065893402,0.0,15.2,20.48048,18.57574,18.00797,18.57808,18.73627
1734,33959925882479528076,12.45842,32.28244,SN,TNS,1,0.0298969147802423,0.045967,18.2,15.974479999999998,14.41045,13.569770000000002,13.126660000000001,13.32231
1737,53653470630565727757,225.96099999999998,42.11347,SN,TNS,1,0.0057854624787224,-9999.0,17.7,18.25391,19.880329999999997,20.64322,24.36409,22.80471
1738,48084279164804940912,168.73671000000002,33.82658,SN,TNS,1,0.0562130620710767,0.022661,17.4,16.380679999999998,14.8698,14.280520000000001,13.96381,13.7808
1740,3895377475022356083,328.7095,0.9336700000000001,SN,TNS,0,0.0777408590178817,0.0,21.7,23.57164,24.55132,24.16456,22.29727,22.03679
1746,23084488257303474695,232.38117000000003,7.99753,SN,TNS,1,0.00965894066103555,0.307622,19.9,21.60588,20.591929999999998,19.52936,19.082320000000003,18.83751
1747,46440754661121937457,22.63421,0.21978000000000003,SN,TNS,1,0.0724490089060495,0.38640599999999997,23.3,23.357,22.148889999999998,20.64655,20.05823,19.65014
1751,98680839382995190245,18.42125,-0.10178,SN,TNS,1,0.034463894084459996,0.098118,17.5,19.61349,18.42076,19.62971,17.89086,17.38091
1753,58611006362697868967,51.429829999999995,41.244890000000005,SN,TNS,1,0.0368958966527849,0.041741,17.9,18.38745,16.428739999999998,15.46226,14.95845,14.529570000000001
1760,91429885141097046391,267.55992000000003,14.28319,SN,TNS,1,0.0318550239584748,0.11394100000000001,18.0,16.95061,16.01642,16.00797,16.09594,16.28481
1768,26626103738050971793,37.529790000000006,-8.71925,SN,TNS,1,0.00697543953374464,0.30677600000000005,,23.083479999999998,24.79455,21.93768,22.73497,21.51509
1779,27115992137103323906,235.10317,32.86589,SN,TNS,1,0.000998002362881952,0.051039999999999995,19.6,18.97342,17.281879999999997,16.51676,16.15309,15.88221
1782,54477797094467649199,54.946459999999995,0.9928299999999999,SN,TNS,1,0.0433975191474853,0.146429,22.5,21.65813,20.21593,19.47372,19.122220000000002,18.92377
1786,97158375885832565028,323.6395,-0.8858299999999999,SN,TNS,1,0.0661036803553828,0.25106799999999996,21.3,21.26582,20.13254,19.12024,18.660120000000003,18.42812
1795,97295018924054837382,186.86712,42.34128,SN,TNS,1,0.000170133105401266,0.030083999999999996,21.1,19.3103,18.14118,17.702070000000003,17.49999,17.36909
1801,54666014113353077293,32.570170000000005,-0.26586,SN,TNS,1,0.0967970074560942,0.679891,20.2,25.2715,24.01204,23.316679999999998,24.04087,22.52286
1802,91865671110167068757,218.92962000000003,8.29883,SN,TNS,0,0.0611552790891053,0.0,16.8,22.521179999999998,21.42251,21.40449,21.969179999999998,21.81525
1807,13780031810815933164,206.13662,4.778969999999999,SN,TNS,1,0.0564028007968633,-9999.0,16.5,21.75037,22.40973,23.08451,23.4858,20.85272
1810,87248648363748805934,25.43804,-0.18914,SN,TNS,1,0.0206135358914332,0.37759899999999996,22.5,26.526429999999998,21.90563,20.40521,19.76493,19.322979999999998
1811,52728184659319018985,17.566,0.47203,SN,TNS,1,0.0249227829003274,0.354275,22.1,21.56183,20.913729999999997,20.15504,19.73357,19.463739999999998
1813,9895321685322656773,19.05242,0.79194,SN,TNS,0,0.01963171901332,0.0,19.4,24.63385,21.71436,21.19761,20.9747,20.69506
1816,26574736952436652125,136.22367,13.56564,SN,TNS,0,0.0263775890406204,0.0,17.7,21.851210000000002,21.0548,21.13075,20.8082,22.82691
1828,81702103179445081084,26.92833,0.20722,SN,TNS,1,0.0229734206011425,0.146541,22.2,23.84233,22.436999999999998,21.57674,21.58585,22.29417
1831,84753075794306087506,26.12071,0.22978,SN,TNS,1,0.00691247536465581,0.17449800000000001,21.5,20.096,18.6701,17.78616,17.33367,17.09299
1832,99777054454886678635,15.161829999999998,-7.980360000000001,SN,TNS,0,0.0380914002857035,0.0,18.4,22.38401,22.04071,24.05278,24.30932,22.82689
1834,58624285424789980269,50.09042,-0.8855799999999999,SN,TNS,1,0.04671420947897099,0.21138,21.0,21.47599,19.94425,18.92091,18.392329999999998,18.1493
1836,95832552627540070114,9.29942,-1.2034200000000002,SN,TNS,1,0.0381711770167958,0.337352,21.9,25.20027,24.72553,22.60525,22.4383,22.81617
1838,65843400033595255329,235.37429,15.786970000000002,SN,TNS,1,0.0299837189189997,0.11658099999999999,17.7,16.492729999999998,15.89955,16.03555,17.42175,17.18422
1844,1745404740661580871,6.7505,-0.5866100000000001,SN,TNS,1,0.028820713923775,0.144398,20.4,20.95575,19.99485,19.568070000000002,19.342029999999998,19.285429999999998
1848,85827418393120299789,52.704330000000006,-1.23811,SN,TNS,1,0.0348754408808567,0.10884500000000001,20.9,20.86235,19.55595,18.99708,18.62181,18.45584
1862,75243547626532940224,55.57261999999999,1.06314,SN,TNS,1,0.0540700023872014,0.177805,22.2,22.41604,20.76153,19.77326,19.173779999999997,18.781010000000002
1865,89513433014157594137,42.63371,0.80781,SN,TNS,1,0.0307216234468826,0.174305,21.0,20.4798,19.5266,18.90931,18.514429999999997,18.36386
1866,20075964333282962361,312.03925,-1.01539,SN,TNS,1,0.0530688911185132,0.23139099999999999,22.0,24.18145,21.10034,20.06952,19.504189999999998,19.17405
1881,63583202343204275767,8.31983,7.9054199999999994,SN,TNS,1,0.0677934557893869,0.49876800000000004,16.5,24.12494,23.050710000000002,21.816470000000002,21.373279999999998,21.00739
1884,9607122553512341267,174.30458000000002,15.435360000000001,SN,TNS,0,0.0585536539385509,0.0,16.0,22.970670000000002,24.05431,23.44078,24.024079999999998,22.82691
1892,88822070496934391936,312.83446000000004,1.01889,SN,TNS,0,0.00310030822212591,0.0,22.3,25.00956,23.65802,22.03773,22.42877,22.27149
1903,69655736132123245807,32.61262,-4.28561,SN,TNS,1,0.0315231675087853,0.995383,22.9,25.53721,23.696070000000002,23.19942,22.340329999999998,23.103089999999998
1905,90968460770190184864,4.21583,-0.41581,SN,TNS,1,0.0394388518563384,0.18163900000000002,20.7,22.38898,20.78211,20.07647,19.80609,19.63279
1911,2889618112492730908,328.94333,0.59353,SN,TNS,1,0.0340832575451181,0.286694,21.7,21.98525,20.87041,19.86016,19.4257,19.08446
1914,15938934566877081455,33.976290000000006,1.06942,SN,TNS,1,0.0320800329592378,0.181647,20.0,21.197689999999998,20.553,20.0983,19.873379999999997,19.93
