,id,ra,dec,transient_label,survey,host_label,offset,redshift,transient_mag,u,g,r,i,z
0,47482160539508510491,248.04825,42.71322,SN,TNS,1,0.0515147021675716,0.053085,17.29,18.52126,16.51775,15.5428,15.042710000000001,14.597320000000002
1,46420955437513684310,140.86437,17.184279999999998,SN,TNS,1,0.0250911911329684,-9999.0,19.378,17.81253,30.585209999999996,29.138479999999998,21.08523,26.9129
7,10604281317442242934,217.04737000000003,16.48112,AGN,TNS,1,0.00489465314260469,0.316319,17.724,19.92654,19.36465,19.44887,18.93818,18.937929999999998
10,22401553992082883277,180.42962,8.134689999999999,SN,TNS,1,0.0180237282419055,0.051466,17.0,18.33496,16.54628,15.76426,15.40271,15.135539999999999
14,95419405206564399512,166.89786999999998,22.85127,SN,TNS,1,0.00872561592286596,0.044642,16.92,16.709329999999998,16.18758,15.990039999999999,15.8794,15.885079999999999
23,11305525902850200518,113.35611999999999,37.62911,VS,TNS,0,0.004701893033613539,0.0,15.68,22.12629,21.889870000000002,22.08975,22.47853,21.72241
26,40256373429912982005,196.46346,46.973079999999996,SN,TNS,1,0.0427877948007943,0.13827,20.3,20.33194,19.425929999999997,18.9818,18.63755,18.7607
27,64374481182341588012,158.32333,16.40754,SN,TNS,1,0.0882282059599421,-9999.0,17.53,21.58941,20.68267,21.02251,24.3618,22.8269
32,49929256744183840177,167.52617,8.72055,SN,TNS,1,0.0168564755222887,0.125304,18.43,22.21859,20.824089999999998,20.43487,20.191979999999997,20.23637
34,36041502283670048842,170.72871,16.58972,VS,TNS,1,0.012612074300611,0.024907,13.8,13.863339999999999,12.79665,12.44011,12.20235,12.07429
35,44864683511510390363,316.06608,-6.34014,SN,TNS,1,0.00988911180083471,0.227102,19.5558,22.78354,20.51437,19.16245,18.45949,18.00251
42,57156612016864548503,19.82496,44.123470000000005,SN,TNS,1,0.0251280198132035,0.12680999999999998,19.383,20.05893,19.1522,18.7561,18.485429999999997,18.554920000000003
44,23239830496506138162,26.07037,12.25544,SN,TNS,0,0.00904845113953439,0.0,17.9,21.85088,21.688579999999998,22.09457,22.14376,22.22588
49,11070488443650608039,141.23821,40.39865,SN,TNS,0,0.0318872516083904,0.0,17.7,20.47709,20.104689999999998,20.28939,20.46552,20.97246
50,14447777490500846701,100.10292,64.55076,SN,TNS,0,0.0757533204490423,0.0,17.3961,23.67619,22.89415,22.3434,22.46494,20.86055
66,94147349061632818020,257.236,27.39807,AGN,TNS,1,0.00524818537821266,0.072028,18.33,19.21676,17.21658,16.30145,15.89216,15.58177
68,8119660579185238159,323.54296,-1.8881299999999999,AGN,TNS,0,0.000817329147045102,0.0,16.88,18.84194,18.178320000000003,17.64241,17.26174,16.89375
69,27671933381421155854,167.68567,4.84753,SN,TNS,1,0.0972309408803697,0.025223,15.43,16.52897,14.761479999999999,13.87684,13.399329999999999,12.99323
