"ID","Name","RA","DEC","Type","Redshift","Host Name","Host Redshift","Discovering Group/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Ext. catalog/s"
"2543","SN 2003ay","04:07:26.25","+28:07:55.42","SN Ia","","Anon.           ","","","","","","","","0","1","","19.1","","2003-02-19 00:00:00","",""
"2542","SN 2003ax","08:08:35.53","+07:46:42.20","SN Ia","","Anon.           ","","","","","","","","0","1","","18.7","","2003-02-09 00:00:00","",""
"2541"," 2003aw","09:05:54.79","-05:36:08.60","","","Anon.           ","","","","","","","","0","1","","0","","0000-00-00 00:00:00","",""
"2540","SN 2003av","08:01:32.57","+02:48:27.90","SN Ia","","Anon.           ","","","","","","","","0","1","","19.6","","2003-02-04 00:00:00","",""
"2539","SN 2003au","16:11:11.56","+61:15:58.21","SN Ia","","NGC 6095        ","","","","","","","","0","1","","19.2","","2003-02-17 00:00:00","",""
"2538","SN 2003at","16:38:47.81","+66:01:23.70","SN II","","MCG +11-20-23   ","","","","","","","","0","1","","17.2","","2003-02-15 00:00:00","",""
"2537","SN 2003as","05:28:45.81","+49:52:59.09","SN IIn","","MCG +08-10-7    ","","","","","","","","0","1","","16.8","","2003-02-13 00:00:00","",""
"2536","SN 2003ar","16:02:08.11","+70:24:55.51","SN Ia","","MCG +12-15-47   ","","","","","","","","0","1","","17.9","","2003-02-14 00:00:00","",""
"2535","SN 2003aq","14:10:07.24","+17:37:05.30","SN II","","NGC 5490        ","","","","","","","","0","1","","18.5","","2003-02-06 00:00:00","",""
"2534","SN 2003ap","09:50:52.83","-21:51:10.12","SN Ia","","Anon.           ","","","","","","","","0","1","","16.7","","2003-02-09 00:00:00","",""
"2533","SN 2003ao","09:45:48.46","-14:22:14.02","SN II","","NGC 2993        ","","","","","","","","0","1","","17.3","","2003-02-10 00:00:00","",""
"2532","SN 2003an","13:27:53.55","+28:30:29.20","SN Ia","","MCG +05-32-22   ","","","","","","","","0","1","","16.9","","2003-02-09 00:00:00","",""
"2531","SN 2003am","13:20:43.57","-22:02:53.48","SN II","","ESO 576-G40     ","","","","","","","","0","1","","17.8","","2003-02-09 00:00:00","",""
"2530"," 2003al","03:32:05.39","-27:44:29.18","","","Anon.           ","","","","","","","","0","1","","24.5","","2003-02-05 00:00:00","",""
"2529"," 2003ak","03:32:46.90","-27:54:49.28","","","Anon.           ","","","","","","","","0","1","","25.8","","2003-02-03 00:00:00","",""
"2528"," 2003aj","03:32:44.33","-27:55:06.38","","","Anon.           ","","","","","","","","0","1","","25.7","","2003-02-03 00:00:00","",""
"2527","SN 2003ai","13:00:58.68","+39:51:24.52","SN Ia","","IC 4062         ","","","","","","","","0","1","","17","","2003-02-08 00:00:00","",""
"2526","SN 2003ah","04:43:08.54","+00:46:00.41","SN Ia","","Anon.           ","","","","","","","","0","1","","17.3","","2003-02-08 00:00:00","",""
"2525","SN 2003ag","11:26:01.82","+01:59:02.80","SN Ia","","UGC 6440        ","","","","","","","","0","1","","16.5","","2003-02-07 00:00:00","",""
"2524","SN 2003af","11:10:21.69","+23:24:50.90","SN Ia","","Anon.           ","","","","","","","","0","1","","15.6","","2003-02-03 00:00:00","",""
"2523","SN 2003ae","09:28:22.58","+27:26:40.70","SN Ia","","Anon.           ","","","","","","","","0","1","","17.9","","2003-01-23 00:00:00","",""
"2522","SN 2003ad","14:56:28.07","+45:21:09.22","SN II","","Anon.           ","","","","","","","","0","1","","17.8","","2003-02-03 00:00:00","",""
"2521","SN 2003ac","12:21:47.35","+25:52:33.10","SN II","","IC 3203         ","","","","","","","","0","1","","18.9","","2003-02-02 00:00:00","",""
"2520","SN 2003ab","09:19:13.26","+48:58:09.08","SN II","","UGC 4930        ","","","","","","","","0","1","","17.8","","2003-02-01 00:00:00","",""
"2519","SN 2003aa","10:46:36.82","+13:45:32.18","SN Ia","","NGC 3367        ","","","","","","","","0","1","","17.6","","2003-01-31 00:00:00","",""
"2856","SN 2003Z","09:07:32.46","+60:29:17.48","SN II","","NGC 2742        ","","","","","","","","0","1","","16.7","","2003-01-29 00:00:00","",""
"2855","SN 2003Y","08:54:34.60","+57:10:19.81","SN Ia","","IC 522          ","","","","","","","","0","1","","17.4","","2003-01-29 00:00:00","",""
"2854","SN 2003X","18:12:05.67","+29:09:17.32","SN Ia","","UGC 11151       ","","","","","","","","0","1","","17","","2003-01-28 00:00:00","",""
"2853","SN 2003W","09:46:49.48","+16:02:37.61","SN Ia","","UGC 5234        ","","","","","","","","0","1","","17.3","","2003-01-28 00:00:00","",""
"2852","SN 2003V","03:05:43.05","-01:24:12.82","SN Ia","","Anon.           ","","","","","","","","0","1","","18.2","","2003-01-16 00:00:00","",""
"2851","SN 2003U","17:22:45.66","+62:09:50.40","SN Ia","","NGC 6365        ","","","","","","","","0","1","","18","","2003-01-27 00:00:00","",""
"2850","SN 2003T","09:14:11.06","+16:44:48.01","SN II","","UGC 4864        ","","","","","","","","0","1","","18.1","","2003-01-25 00:00:00","",""
"2849","SN 2003S","13:41:19.49","+55:40:36.52","SN Ia","","MCG +09-22-94   ","","","","","","","","0","1","","18","","2003-01-24 00:00:00","",""
"2848","SN 2003R","02:05:11.27","-04:42:29.99","SN Ia","","Anon.           ","","","","","","","","0","1","","22","","2003-01-02 00:00:00","",""
"2847","SN 2003Q","02:05:47.55","-04:52:48.00","SN Ia","","Anon.           ","","","","","","","","0","1","","20","","2003-01-02 00:00:00","",""
"2846","SN 2003P","08:01:15.63","+55:44:34.80","SN Ia","","MCG +09-13-107  ","","","","","","","","0","1","","18","","2003-01-23 00:00:00","",""
"2845","SN 2003O","03:38:09.13","+40:58:37.99","SN II","","UGC 2798        ","","","","","","","","0","1","","17","","2003-01-18 00:00:00","",""
"2844"," 2003N","12:37:09.06","+62:11:00.71","","","Anon.           ","","","","","","","","0","1","","25.9","","2003-01-02 00:00:00","",""
"2842","SN 2003M","12:13:21.00","+21:38:48.41","SN Ia-pec","","UGC 7224        ","","","","","","","","0","1","","17.3","","2003-01-13 00:00:00","",""
"2815","SN 2003L","11:03:12.33","+11:04:38.32","SN Ic","","NGC 3506        ","","","","","","","","0","1","","16.9","","2003-01-12 00:00:00","",""
"2788","SN 2003K","15:32:01.91","+68:14:35.92","SN Ia","","IC 1129         ","","","","","","","","0","1","","15.4","","2003-01-11 00:00:00","",""
"2761","SN 2003J","12:10:57.72","+50:28:31.80","SN II","","NGC 4157        ","","","","","","","","0","1","","16.7","","2003-01-11 00:00:00","",""
"2734","SN 2003I","09:27:29.48","+03:55:45.59","SN Ib","","IC 2481         ","","","","","","","","0","1","","17.6","","2003-01-09 00:00:00","",""
"2707","SN 2003H","06:16:25.68","-21:22:23.81","SN Ib/c","","NGC 2207        ","","","","","","","","0","1","","17.8","","2003-01-08 00:00:00","",""
"2680","SN 2003G","02:08:28.13","+06:23:51.90","SN IIn","","IC 208          ","","","","","","","","0","1","","16.2","","2003-01-08 00:00:00","",""
"2653","SN 2003F","05:11:32.99","+17:03:28.40","SN Ia","","UGC 3261        ","","","","","","","","0","1","","16.7","","2003-01-08 00:00:00","",""
"2626","SN 2003E","04:39:10.88","-24:10:36.52","SN II","","MCG -04-12-4    ","","","","","","","","0","1","","17","","2003-01-05 00:00:00","",""
"2599","SN 2003D","09:38:53.52","-04:51:05.11","SN Ia-pec","","MCG -01-25-9    ","","","","","","","","0","1","","17.5","","2003-01-06 00:00:00","",""
"2572","SN 2003C","00:41:20.91","-01:42:54.11","SN II","","UGC 439         ","","","","","","","","0","1","","17","","2003-01-06 00:00:00","",""
"2545","SN 2003B","02:46:13.78","-30:13:45.08","SN II","","NGC 1097        ","","","","","","","","0","1","","15","","2003-01-05 00:00:00","",""
"2518","SN 2003A","10:48:33.86","+66:22:29.39","SN Ib/c","","UGC 5904        ","","","","","","","","0","1","","17.4","","2003-01-04 00:00:00","",""
"23606","AT 2002lz","12:31:08.34","+52:24:54.06","","","UGC 7661","","","","","","Sloan - SDSS I-II Spec","","1","1","","16.73","r-Sloan","2002-01-13 10:54:35","Cornen",""
"23549","AT 2002ly","09:44:04.40","+39:23:49.16","","","2MFGC 7551","","","","","","Sloan - SDSS I-II Spec","","1","1","","18.09","g-Sloan","2002-11-07 11:31:20","Cornen",""
"23486","AT 2002lx","10:41:36.31","+11:04:37.33","","","SDSS J104136.33+110429.4","0.05282372","","","","","Sloan - SDSS I-II Spec","","1","1","","19.7339","r-Sloan","2002-12-14 11:58:07","Cornen",""
"23484","AT 2002lw","11:44:28.46","-01:53:00.35","","","GAMAJ114428.45-015300.3","0.07717","","","","","Sloan - SDSS I-II Spec","","1","1","","18.0567","r-Sloan","2002-01-08 00:00:00","Cornen",""
"2503"," 2002lv","03:33:33.75","-09:18:52.99","","","Anon.           ","","","","","","","","0","1","","25.2","","2002-09-23 00:00:00","",""
"2502"," 2002lu","03:33:31.44","-09:16:52.28","","","Anon.           ","","","","","","","","0","1","","24","","2002-09-23 00:00:00","",""
"2501","SN 2002lt","08:08:59.86","+06:43:37.49","SN Ic","","Anon.           ","","","","","","","","0","1","","18.3","","2002-12-11 00:00:00","",""
"2500","SN 2002ls","22:37:40.89","-00:38:00.82","SN Ia","","Anon.           ","","","","","","","","0","1","","22.6","","2002-06-07 00:00:00","",""
"2499","SN 2002lr","22:33:12.59","+01:05:56.69","SN Ia","","Anon.           ","","","","","","","","0","1","","20.8","","2002-06-06 00:00:00","",""
"2498","SN 2002lq","16:40:28.83","+41:14:09.10","SN Ia","","Anon.           ","","","","","","","","0","1","","21.9","","2002-06-06 00:00:00","",""
"2497","SN 2002lp","16:40:11.45","+42:28:30.22","SN Ia","","Anon.           ","","","","","","","","0","1","","20.4","","2002-06-06 00:00:00","",""
"2496","SN 2002lo","16:39:56.42","+42:19:20.50","SN Ia","","Anon.           ","","","","","","","","0","1","","21.9","","2002-06-06 00:00:00","",""
"2495","SN 2002ln","16:39:24.93","+41:47:29.00","SN II","","Anon.           ","","","","","","","","0","1","","22.5","","2002-06-06 00:00:00","",""
"2494","SN 2002lm","16:39:04.19","+42:21:32.11","SN II","","Anon.           ","","","","","","","","0","1","","22.9","","2002-06-06 00:00:00","",""
"2493","SN 2002ll","16:37:08.30","+41:24:37.69","SN Ia","","Anon.           ","","","","","","","","0","1","","20.5","","2002-06-06 00:00:00","",""
"2492","SN 2002lk","16:06:55.92","+55:28:18.19","SN Ia","","Anon.           ","","","","","","","","0","1","","18.3","","2002-06-06 00:00:00","",""
"2491","SN 2002lj","16:19:19.65","+53:09:54.22","SN Ia","","Anon.           ","","","","","","","","0","1","","19.7","","2002-06-05 00:00:00","",""
"2490","SN 2002li","15:59:03.08","+54:18:15.98","SN Ia","","Anon.           ","","","","","","","","0","1","","20.6","","2002-06-04 00:00:00","",""
"2489","SN 2002lh","14:44:20.38","+31:15:44.39","SN Ia","","Anon.           ","","","","","","","","0","1","","21","","2002-06-09 00:00:00","",""
"2488"," 2002lg","03:32:35.76","-27:47:58.81","","","Anon.           ","","","","","","","","0","1","","23.4","","2002-07-04 00:00:00","",""
"2487"," 2002lf","13:50:50.13","+09:42:02.02","","","Anon.           ","","","","","","","","0","1","","19.9","","2002-05-13 00:00:00","",""
"2486"," 2002le","13:11:47.96","-00:19:53.69","","","Anon.           ","","","","","","","","0","1","","19.5","","2002-05-17 00:00:00","",""
"2485"," 2002ld","02:20:00.03","-04:44:20.18","","","Anon.           ","","","","","","","","0","1","","24.3","","2002-11-03 00:00:00","",""
"2484"," 2002lc","02:18:51.59","-04:47:24.79","","","Anon.           ","","","","","","","","0","1","","25.1","","2002-11-03 00:00:00","",""
"2483"," 2002lb","02:18:09.01","-04:54:17.89","","","Anon.           ","","","","","","","","0","1","","25.1","","2002-11-03 00:00:00","",""
"2482"," 2002la","02:17:45.97","-04:36:46.19","","","Anon.           ","","","","","","","","0","1","","25.2","","2002-11-03 00:00:00","",""
"2480"," 2002kz","02:16:56.37","-05:00:57.38","","","Anon.           ","","","","","","","","0","1","","24.9","","2002-11-03 00:00:00","",""
"2479"," 2002ky","02:18:53.20","-04:32:59.21","","","Anon.           ","","","","","","","","0","1","","23.7","","2002-11-03 00:00:00","",""
"2478"," 2002kx","02:18:40.73","-05:03:44.32","","","Anon.           ","","","","","","","","0","1","","25.3","","2002-11-03 00:00:00","",""
"2477"," 2002kw","02:18:35.15","-04:26:38.90","","","Anon.           ","","","","","","","","0","1","","25.1","","2002-11-03 00:00:00","",""
"2476"," 2002kv","02:17:43.30","-04:30:56.70","","","Anon.           ","","","","","","","","0","1","","24.6","","2002-11-03 00:00:00","",""
"2475"," 2002ku","02:17:42.54","-05:06:33.98","","","Anon.           ","","","","","","","","0","1","","24.8","","2002-11-03 00:00:00","",""
"2474"," 2002kt","02:17:38.08","-05:08:46.79","","","Anon.           ","","","","","","","","0","1","","24.5","","2002-11-03 00:00:00","",""
"2473"," 2002ks","02:17:34.53","-05:00:15.41","","","Anon.           ","","","","","","","","0","1","","25.2","","2002-11-03 00:00:00","",""
"2472","SN 2002kr","02:17:34.51","-04:53:46.61","SN Ia","","Anon.           ","","","","","","","","0","1","","24.5","","2002-11-03 00:00:00","",""
"2471"," 2002kq","02:17:12.24","-04:55:08.69","","","Anon.           ","","","","","","","","0","1","","24.4","","2002-11-03 00:00:00","",""
"2470"," 2002kp","02:17:08.63","-05:02:06.40","","","Anon.           ","","","","","","","","0","1","","23.8","","2002-11-03 00:00:00","",""
