"ID","Name","RA","DEC","Type","Redshift","Host Name","Host Redshift","Discovering Group/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Ext. catalog/s"
"1144","SN 1996I","12:00:39.43","-00:16:02.39","SN Ia","","Anon.           ","","","","","","","","0","1","","23","","1996-02-14 00:00:00","",""
"1143","SN 1996H","12:28:52.78","-00:05:40.99","SN Ia","","Anon.           ","","","","","","","","0","1","","22.8","","1996-02-14 00:00:00","",""
"1142","SN 1996G","12:28:53.84","-00:04:44.62","SN II","","Anon.           ","","","","","","","","0","1","","23.3","","1996-02-14 00:00:00","",""
"1141","SN 1996F","10:50:03.62","-09:22:30.22","SN II","","Anon.           ","","","","","","","","0","1","","22.5","","1996-02-14 00:00:00","",""
"1140","SN 1996E","10:10:20.28","-12:33:09.22","SN Ia","","Anon.           ","","","","","","","","0","1","","22.2","","1996-02-14 00:00:00","",""
"1139","SN 1996D","00:00:00.00","+00:00:00.00","SN Ic","","NGC 1614        ","","","","","","","","0","1","","0","","1996-02-09 00:00:00","",""
"1120","SN 1996C","13:50:48.60","+49:19:07.10","SN Ia","","MCG +08-25-47   ","","","","","","","","0","1","","18","","1996-02-15 00:00:00","",""
"1093"," 1996B","00:00:00.00","+00:00:00.00","","","NGC 4357        ","","","","","","","","0","1","","17.5","","1996-01-16 00:00:00","",""
"1066","SN 1996A","00:00:00.00","+00:00:00.00","SN II","","Anon.           ","","","","","","","","0","1","","18","","1996-01-12 00:00:00","",""
"1041"," 1995bf","16:04:20.40","+43:04:44.00","","","Anon.           ","","","","","","","","0","1","","26.2","","1994-02-25 00:00:00","",""
"1040"," 1995be","15:58:14.30","+19:46:06.49","","","Anon.           ","","","","","","","","0","1","","19","","1995-07-18 00:00:00","",""
"1039","SN 1995bd","04:45:21.24","+11:04:02.50","SN Ia","","UGC 3151        ","","","","","","","","0","1","","18.8","","1995-12-19 00:00:00","",""
"1038","SN 1995bc","09:51:43.50","+40:18:50.62","SN II","","Anon.           ","","","","","","","","0","1","","18.5","","1995-12-01 00:00:00","",""
"1037","SN 1995bb","00:16:17.64","+12:24:53.39","SN Ic","","Anon.           ","","","","","","","","0","1","","0","","1995-11-29 00:00:00","",""
"1036","SN 1995ba","08:19:06.46","+07:43:21.22","SN I","","Anon.           ","","","","","","","","0","1","","22.6","","1995-11-20 00:00:00","",""
"1034","SN 1995az","04:40:33.59","-05:30:03.60","SN I","","Anon.           ","","","","","","","","0","1","","24","","1995-11-20 00:00:00","",""
"1033","SN 1995ay","03:01:07.52","+00:21:19.40","SN I","","Anon.           ","","","","","","","","0","1","","22.7","","1995-11-20 00:00:00","",""
"1032","SN 1995ax","02:26:25.80","+00:48:44.21","SN I","","Anon.           ","","","","","","","","0","1","","22.6","","1995-11-19 00:00:00","",""
"1031","SN 1995aw","02:24:55.54","+00:53:07.51","SN I","","Anon.           ","","","","","","","","0","1","","22.5","","1995-11-19 00:00:00","",""
