"ID","Name","RA","DEC","Type","Redshift","Host Name","Host Redshift","Discovering Group/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Ext. catalog/s"
"5537"," 2010kp","04:03:38.86","+70:45:15.70","","","Anon.           ","","","","","","","","0","1","","17.9","","2010-12-08 00:00:00","",""
"5536","SN 2010ko","05:32:49.44","-14:05:45.89","SN Ia","","NGC 1954        ","","","","","","","","0","1","","16.8","","2010-12-05 00:00:00","",""
"5535","SN 2010kn","11:50:17.04","+43:57:47.02","SN Ia","","Anon.           ","","","","","","","","0","1","","18.5","","2010-12-02 00:00:00","",""
"5534"," 2010km","02:55:12.81","+24:38:13.09","","","Anon.           ","","","","","","","","0","1","","18.8","","2010-12-04 00:00:00","",""
"5533"," 2010kl","11:27:17.48","+03:45:33.30","","","Anon.           ","","","","","","","","0","1","","18.9","","2010-11-16 00:00:00","",""
"5532","SN 2010kk","03:53:23.23","+09:54:33.30","SN Ia","","Anon.           ","","","","","","","","0","1","","20.2","","2010-11-08 00:00:00","",""
"5531","SN 2010kj","02:48:37.15","+07:24:10.80","SN Ia","","Anon.           ","","","","","","","","0","1","","18.5","","2010-11-02 00:00:00","",""
"5530","SN 2010ki","23:16:09.60","-02:14:05.60","SN Ia","","Anon.           ","","","","","","","","0","1","","16.9","","2010-12-02 00:00:00","",""
"5529","SN 2010kh","20:59:46.73","-01:53:43.91","SN IIb","","UGC 11657       ","","","","","","","","0","1","","17.4","","2010-11-18 00:00:00","",""
"5528","SN 2010kg","04:40:08.40","+07:21:00.00","SN Ia","","NGC 1633        ","","","","","","","","0","1","","18.8","","2010-11-29 00:00:00","",""
"5527","SN 2010kf","03:36:03.53","+01:06:04.00","SN Ia","","Anon.           ","","","","","","","","0","1","","17.5","","2010-11-28 00:00:00","",""
