"ID","Name","RA","DEC","Type","Redshift","Host Name","Host Redshift","Discovering Group/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Ext. catalog/s"
"6562","SN 2015W","06:57:43.03","+13:34:45.70","SN IIP","","UGC 3617        ","","","","","","","","0","1","","16.8","","2015-01-12 00:00:00","",""
"6561","SN 2015V","17:49:27.05","+36:08:35.99","SN IIP","","UGC 11000       ","","","","","","","","0","1","","15.9","","2015-04-04 00:00:00","",""
"6560","SN 2015U","07:28:53.87","+33:49:10.60","SN Ibn","","NGC 2388        ","","","","","","","","0","1","","16.4","","2015-02-13 00:00:00","",""
"6559","SN 2015T","23:07:24.07","-61:29:21.19","SN II","","ESO 147-G20A    ","","","","","","","","0","1","","17.3","","2015-06-16 00:00:00","",""
"6558","SN 2015S","00:31:26.07","-49:35:34.58","SN IIP","","Anon.           ","","","","","","","","0","1","","17.1","","2015-07-22 00:00:00","",""
"6557","SN 2015R","13:44:33.67","+04:46:53.51","SN II","","UGC 8690        ","","","","","","","","0","1","","17.8","","2015-04-09 00:00:00","",""
"6556","SN 2015Q","11:47:35.08","+55:58:14.70","SN Ib","","NGC 3888        ","","","","","","","","0","1","","16","","2015-06-17 00:00:00","",""
"6555","SN 2015P","12:50:30.72","-10:52:40.51","SN IIP","","MCG -02-33-20   ","","","","","","","","0","1","","18.2","","2015-06-07 00:00:00","",""
"6554","SN 2015O","18:13:49.23","+13:14:15.90","SN IIP","","Anon.           ","","","","","","","","0","1","","18.3","","2015-06-22 00:00:00","",""
"6553","SN 2015N","21:43:16.89","+43:34:47.60","SN Ia","","UGC 11797       ","","","","","","","","0","1","","17.6","","2015-07-06 00:00:00","",""
"6552","SN 2015M","13:00:32.30","+27:58:41.09","SN Ia","","Anon.           ","","","","","","","","0","1","","17.2","","2015-05-13 00:00:00","",""
"6551","SN 2015L","22:02:15.45","-61:39:34.60","SN I","","Anon.           ","","","","","","","","0","1","","17","","2015-06-14 00:00:00","",""
"6550","SN 2015K","23:35:52.26","+23:36:52.09","SN Ic","","NGC 7712        ","","","","","","","","0","1","","16.3","","2015-04-25 00:00:00","",""
"6549","SN 2015J","07:35:05.18","-69:07:53.11","SN IIn","","Anon.           ","","","","","","","","0","1","","19.3","","2015-04-27 00:00:00","",""
"6548","SN 2015I","07:17:45.70","+23:20:40.60","SN Ia","","NGC 2357        ","","","","","","","","0","1","","15.7","","2015-05-02 00:00:00","",""
"6547","SN 2015H","10:54:42.16","-21:04:13.80","SN Ia","","NGC 3464        ","","","","","","","","0","1","","16.9","","2015-02-10 00:00:00","",""
"6546","SN 2015G","20:37:25.58","+66:07:11.50","SN Ibn","","NGC 6951        ","","","","","","","","0","1","","15.5","","2015-03-23 00:00:00","",""
"6545","SN 2015F","07:36:15.76","-69:30:23.00","SN Ia","","NGC 2442        ","","","","","","","","0","1","","16.8","","2015-03-09 00:00:00","",""
"6544","SN 2015E","03:13:35.31","+00:15:03.10","SN Ia","","Anon.           ","","","","","","","","0","1","","17","","2015-01-13 00:00:00","",""
