"ID","Name","RA","DEC","Type","Redshift","Host Name","Host Redshift","Discovering Group/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Ext. catalog/s"
"15797","AT 2016hmk","03:20:50.34","-29:58:51.24","","","","","Pan-STARRS1","","Pan-STARRS1","PS16esb","PS1 - GPC1","","1","1","","20.69","i-Sloan","2016-10-12 12:38:52","PS1_Bot1",""
"15796","AT 2016hmj","01:09:07.44","+41:29:04.06","","","","","Pan-STARRS1","","Pan-STARRS1","PS16erz","PS1 - GPC1","","1","1","","20.93","i-Sloan","2016-10-10 08:42:43","PS1_Bot1",""
"15795","AT 2016hmi","02:00:37.21","+28:27:26.25","","","","","Pan-STARRS1","","Pan-STARRS1","PS16esa","PS1 - GPC1","","1","1","","21.43","w-PS1","2016-10-10 11:26:52","PS1_Bot1",""
"15794","AT 2016hmh","02:01:27.05","+32:28:23.03","","","","","Pan-STARRS1","","Pan-STARRS1","PS16erw","PS1 - GPC1","","1","1","","20.4","w-PS1","2016-10-08 09:28:48","PS1_Bot1",""
"15793","AT 2016hmg","02:40:05.90","+27:33:11.16","","","","","Pan-STARRS1","","Pan-STARRS1","PS16ery","PS1 - GPC1","","1","1","","21.62","w-PS1","2016-10-08 09:54:43","PS1_Bot1",""
"15792","AT 2016hmf","23:35:47.76","+10:59:29.62","","","","","Pan-STARRS1","","Pan-STARRS1","PS16esk","PS1 - GPC1","","1","1","","20.68","i-Sloan","2016-10-19 09:05:45","PS1_Bot1",""
"15791","AT 2016hme","05:54:37.05","-29:46:08.14","","","","","Pan-STARRS1","","Pan-STARRS1","PS16esi","PS1 - GPC1","","1","1","","20.05","i-Sloan","2016-10-19 13:20:38","PS1_Bot1",""
"15790","AT 2016hmd","21:47:58.49","-13:46:39.25","","","","","Pan-STARRS1","","Pan-STARRS1","PS16esj","PS1 - GPC1","","1","1","","21.32","w-PS1","2016-10-19 05:45:36","PS1_Bot1",""
"15789","AT 2016hmc","23:03:11.56","-03:13:37.18","","","","","Pan-STARRS1","","Pan-STARRS1","PS16esg","PS1 - GPC1","","1","1","","20.09","i-Sloan","2016-10-17 08:48:28","PS1_Bot1",""
"15788","AT 2016hmb","23:26:14.90","-01:46:48.50","","","","","Pan-STARRS1","","Pan-STARRS1","PS16esh","PS1 - GPC1","","1","1","","19.85","i-Sloan","2016-10-17 08:54:14","PS1_Bot1",""
"15785","AT 2016hly","10:05:19.64","+50:03:15.84","","","","","ATLAS, GaiaAlerts","","ATLAS; GaiaAlerts","ATLAS16dok","ATLAS1 - ACAM1, Gaia - Gaia-photometric","","1","1","","17.79","cyan-ATLAS","2016-10-25 14:36:57","ATLAS_Bot1",""
"15783","AT 2016hlw","17:04:11.34","-30:09:24.05","","","","","GaiaAlerts","","GaiaAlerts","Gaia16boy","Gaia - Gaia-photometric","","1","1","","17.95","G-Gaia","2016-10-21 00:01:26","Gaia_Bot1",""
"15782","AT 2016hlv","19:05:01.67","+01:30:54.83","","","","","GaiaAlerts","","GaiaAlerts","Gaia16box","Gaia - Gaia-photometric","","1","1","","18.42","G-Gaia","2016-10-18 22:59:31","Gaia_Bot1",""
