ID,Name,RA,DEC,Type,Redshift,Host Name,Host Redshift,Discovering Group/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag,Discovery Mag Filter,Discovery Date (UT),Sender,Ext. catalog/s,SDSS_host_objid,SDSS_host_type,SDSS_host_offset,SDSS_host_redshift,SDSS_host_ra,SDSS_host_dec,SDSS_host_u,SDSS_host_g,SDSS_host_r,SDSS_host_i,SDSS_host_z,SDSS_galaxy_objid,SDSS_galaxy_type,SDSS_galaxy_offset,SDSS_galaxy_redshift,SDSS_galaxy_ra,SDSS_galaxy_dec,SDSS_galaxy_u,SDSS_galaxy_g,SDSS_galaxy_r,SDSS_galaxy_i,SDSS_galaxy_z
26624,SN 2018bui,215.18192,13.69576,SN II,0.02,KUG 1418+139,0.020339,"ASAS-SN, ATLAS",ePESSTO,ASAS-SN; ATLAS,ASASSN-18kr,"ASASSN-3 - Paczynski, ATLAS1 - ACAM1",ESO-NTT - EFOSC2-NTT,1,1,,17.9,g-Sloan,2018-05-18 03:21:36,Stanek,,,,,,,,,,,,,1237662637975207949,3,0.162458932791404,0.018002,215.179156724881,13.6961117489007,16.42517,15.35896,15.0454,14.88777,14.77933
26605,SN 2018btp,210.149,-7.73504,SN Ia,0.076,,,ATLAS,ePESSTO,ATLAS,ATLAS18pkq,ATLAS1 - ACAM1,ESO-NTT - EFOSC2-NTT,1,1,,19.083,orange-ATLAS,2018-05-14 11:08:09,ATLAS_Bot1,,1237671992419745945,3,0.0979669237327872,0.080214,210.147401711547,-7.73464285478559,18.78298,16.60694,15.67673,15.2535,14.90403,1237671992419745945,3,0.0979669237327872,0.080214,210.147401711547,-7.73464285478559,18.78298,16.60694,15.67673,15.2535,14.90403
26581,SN 2018bsr,291.91083,61.94683,SN Ia,,VII Zw 884,,ASAS-SN,ASAS-SN,ASAS-SN,ASASSN-18kl,ASASSN-4 - Leavitt,LT - SPRAT,1,1,,17.2,g-Sloan,2018-05-16 07:40:48,Stanek,,1237671939274375496,3,0.0334202245435567,0.034245,291.911530914356,61.9472789949972,18.04724,16.37993,15.68398,15.31369,14.97725,1237671939274375496,3,0.0334202245435567,0.034245,291.911530914356,61.9472789949972,18.04724,16.37993,15.68398,15.31369,14.97725
26598,SN 2018bti,217.12921,37.06777,SN II,0.024826,,,ATLAS,Global SN Project,ATLAS,ATLAS18piz,ATLAS1 - ACAM1,FTN - FLOYDS-N,1,1,,18.944,orange-ATLAS,2018-05-16 11:31:12,ATLAS_Bot1,,1237662305653555301,3,0.0175500309841951,0.032457,217.128856402032,37.0678471453177,18.09976,16.96095,16.52542,16.29518,16.05625,1237662305653555301,3,0.0175500309841951,0.032457,217.128856402032,37.0678471453177,18.09976,16.96095,16.52542,16.29518,16.05625
26580,SN 2018bsq,248.92817,4.82591,SN Ia,0.06,,,"ATLAS, Pan-STARRS1",ePESSTO,ATLAS; Pan-STARRS1,ATLAS18pda,"ATLAS1 - ACAM1, PS1 - GPC1",ESO-NTT - EFOSC2-NTT,1,1,,19.019,orange-ATLAS,2018-05-08 13:12:00,ATLAS_Bot1,,1237662198293005502,3,0.0521462104156457,0.102082,248.929042193669,4.82591178744067,21.75774,20.09813,19.58306,19.40354,19.22691,1237662198293005502,3,0.0521462104156457,0.102082,248.929042193669,4.82591178744067,21.75774,20.09813,19.58306,19.40354,19.22691
26650,SN 2018bvi,213.57675,10.67821,SN Ib,0.02417,SDSS J141418.24+104039.0  ,0.02417,ASAS-SN,Global SN Project,ASAS-SN,ASASSN-18ky,"ASASSN-3 - Paczynski, ASASSN-1 - Brutus",FTN - FLOYDS-N,1,1,,17.6,V-Johnson,2018-05-20 08:52:48,Stanek,,1237662198814343328,3,0.0588660593123986,0.025562,213.576040586855,10.6775196595523,17.90862,16.78251,16.34556,16.13886,15.92727,1237662198814343328,3,0.0588660593123986,0.025562,213.576040586855,10.6775196595523,17.90862,16.78251,16.34556,16.13886,15.92727
26577,SN 2018bsn,224.3695,5.84253,SN Ia,0.059,2MASX J14572815+0550375,0.059,"TNTS, ATLAS, LOSS, ZTF",TNTS,ATLAS; LOSS; TNTS; ZTF,,"BAO-0.6m - BATC, ATLAS1 - ACAM1, Other - Other, P48 - ZTF-Cam",Lijiang-2.4m - YFOSC,1,1,,18.6,Clear-,2018-05-14 18:00:00,Li,,,,,,,,,,,,,1237655744018579649,3,0.14992534394267,0.039814,224.367402537693,5.84390478346457,17.81327,15.87806,15.05397,14.64639,14.32605
26585,AT 2018bsv,257.236,27.39807,Galaxy,0.106,,,ZTF,ePESSTO,ZTF,ZTF18aarqliy,P48 - ZTF-Cam,ESO-NTT - EFOSC2-NTT,1,1,,18.33,r-ZTF,2018-04-24 10:29:16,ZTF_Bot1,,1237661388696715885,3,0.00524818537821266,0.072028,257.235948591142,27.398144617247,19.21676,17.21658,16.30145,15.89216,15.58177,1237661388696715885,3,0.00524818537821266,0.072028,257.235948591142,27.398144617247,19.21676,17.21658,16.30145,15.89216,15.58177
26599,SN 2018btj,249.24025,63.96993,SN Ia,0.0632,,,ATLAS,Global SN Project,ATLAS,ATLAS18pje,ATLAS1 - ACAM1,FTN - FLOYDS-N,1,1,,18.67,cyan-ATLAS,2018-05-18 11:35:31,ATLAS_Bot1,,1237671940876665112,3,0.0727804208552212,0.050362,249.243013975599,63.9699183451049,23.90625,20.8244,20.50433,20.44112,20.77806,1237671940876665112,3,0.0727804208552212,0.050362,249.243013975599,63.9699183451049,23.90625,20.8244,20.50433,20.44112,20.77806
26569,SN 2018bsg,152.61712,2.23049,SN IIb,0.0217,UGC 05487,0.021686,ASAS-SN,ePESSTO,ASAS-SN,ASASSN-18ke,ASASSN-5 - Payne-Gaposchkin,ESO-NTT - EFOSC2-NTT,1,1,,17.9,g-Sloan,2018-05-15 18:00:00,Stanek,,1237651753998352559,6,0.0425921033485376,0,152.616553355382,2.23006184900665,21.95307,21.40727,20.99095,21.21075,21.25437,1237651753998352567,3,0.58145493798949,0.002597,152.608558308841,2.22593784691472,22.12225,21.63588,21.57726,22.04514,22.82704
