id,label,ra,dec,mag
39484955967481597090,SN,4.05871,-31.61746,17.13
35374573093262587762,SN,172.54842,4.41544,16.9
76361075890894909732,SN,150.77875,-15.47281,19.61
19802519569822976633,SN,155.04546,-7.84686,19.48
94601575472048599633,SN,210.51729,-25.66145,18.17
90733879913135100835,SN,192.61904,-22.6767,18.455
80571273281099100042,SN,209.77287,58.26837,17.84
16957839067435046201,SN,207.89317,-5.88994,17.8
56378112752020611506,SN,160.065,1.8882,18.77
63210137709938501527,SN,195.11062,18.61947,17.9
34922306657766052390,SN,197.86562,65.6381,18.63
52772019278965090182,SN,193.45604,29.59106,18.2
80848141386155418863,AGN,305.50967,-18.38319,17.7
71573268766809858657,SN,335.91037,4.63066,18.49
43767996684462080590,SN,162.31808,26.37309,18.22
52161368638087238036,SN,165.04621,-36.52748,17.9
53162239062854431668,SN,191.16058,6.30132,18.2
44478693753558732539,SN,79.19225,-62.26019,21.895
19309914481478193830,SN,127.91767,-4.11781,17
67870158564698489586,SN,202.41775,-4.68862,20.37
44920404983163160286,SN,322.94992,-46.04194,16.6
22663768560617099308,SN,215.51054,-28.0419,18.1
95437561152636491972,SN,171.29846,69.65867,17.92
68882888365658099009,SN,334.30117,-3.89254,18.89
41842843427272763424,SN,153.23454,46.41809,18.19
91645020526209178185,SN,206.64708,29.11017,18.14
27355747887202442350,SN,176.76717,19.55078,18.28
38695418206661820296,SN,153.10325,-15.18133,18.57
90326246745120856299,SN,150.87408,-9.665,18.58
33784773759917055954,SN,190.38058,26.0331,20.1
65161469421049548027,AGN,241.41767,15.59205,18.956
64326612633900505187,SN,175.28317,24.81961,16.7
52905611492425767039,SN,317.57925,-29.52289,18.33
19851085994537795595,SN,140.74483,9.06964,18.8
30719166692249166605,SN,310.70704,-29.37746,18.43
99947840020679975867,SN,211.64608,-32.57861,17.3
24092992398130924097,SN,200.57842,-1.88111,20.775
831259299695349052,SN,110.13562,49.092,18.21
79896637349449306272,SN,207.362,26.46192,18.3
66878406692316970061,SN,202.83183,-33.23156,17.5
13065507560444641098,SN,265.5675,50.48875,18.156
25430492707060148351,SN,174.77117,-38.23509,18.439
14171949514346914393,SN,128.93942,28.27028,18.42
51949629636586670368,SN,138.59704,-7.17437,18.63
11776059097498076675,SN,203.46883,-37.73244,17.05
49358886367829006902,SN,248.04825,42.71322,17.29
70469578594650765069,SN,254.27067,39.38169,18.22
