transient_object_id,class,ra,dec,first_detect_mag,first_detect_filter
1010012131061037200,AGN,15.050580236162189,6.177001466547247,19.1869,z
1010623010001456400,STAR,16.595891500235215,-0.24900977124481427,18.6036,z
1013836480192936200,SN,24.652025384474257,-19.493394625305616,18.7863,i
1014047801004831900,AGN,25.199184537842346,0.8088671308541978,19.3581,z
1015024160005642400,AGN,27.60068085454047,-0.9451132032897793,20.2715,z
1020517961000555200,SN,31.324870355821826,0.09869285279802764,18.5419,g
1022834041240952800,SN,37.14186673201203,24.164672368392118,17.7423,z
1023126170061552500,AGN,37.859061569145595,-6.264587670412172,19.4275,i
1023633881723113200,STAR,39.141202472328025,72.52035969880875,17.6148,i
1030313061005420100,STAR,45.804427559207035,0.9055860843272902,12.6458,z
1031240861183641100,AGN,48.17028739500625,18.611442979435026,19.7695,r
1043924110053205100,STAR,69.85049305040775,-5.534769934705948,22.3123,g
1072028211663121800,STAR,110.11754407200145,66.5227495854413,15.562,g
1073346271261926300,STAR,113.44279307001949,26.32399015151581,18.195,i
1073550081465948900,STAR,113.95868618950163,46.99693855316468,18.5083,g
1074640431273459000,AGN,116.6684663111957,27.583067697167323,20.1254,i
1074836111240024200,AGN,117.15047054359532,24.006729643599783,16.9351,g
1074923901322500200,AGN,117.34960317348444,32.416739617197216,20.4799,g
1075145151411535900,AGN,117.93815381617394,41.25999231285782,19.3472,g
1075150451221635100,AGN,117.96022471619223,22.276424611565385,20.512,g
1075159271461637300,AGN,117.99699182990865,46.27704335103536,20.4039,g
1080303901251626800,STAR,120.76628470780281,25.274138490643185,16.279,g
1080853711355053900,STAR,122.2238247764212,35.84831255490401,20.6262,r
1080941701534125200,AGN,122.4237856467887,53.690358308449085,21.9182,r
1081758251454056600,AGN,124.49271422422811,45.68239423241391,19.8162,r
1081916201331405900,AGN,124.81751591656496,33.234975541780976,19.5811,r
1082051081493431600,STAR,125.21284664330769,49.57545043362659,18.9963,r
1082324751222303200,AGN,125.85313999426816,22.38424715593281,18.4213,g
1082904791074345300,AGN,127.26997083705416,7.729259982821313,18.1279,i
1083223211491321200,AGN,128.09673968827886,49.22256239789121,18.3709,r
1083446231052738200,AGN,128.69266098646125,5.4606271877622286,20.308,r
1084200471352321200,AGN,130.50197292638464,35.38924649659917,20.5727,r
1084305541550351400,AGN,130.7731186894083,55.06428384505084,20.0326,r
1085107391030834500,STAR,132.78080072143288,3.142921853028303,18.214,r
1090434361323458200,AGN,136.1431734103404,32.58285000981658,18.7968,r
1090705211115031900,SN,136.77173879606877,11.842197612202982,18.6372,z
1091127361084140800,STAR,137.86402273098395,8.694672128559054,18.7793,i
1091709871314307600,STAR,139.29114678249385,31.718802547644675,19.0344,i
1095308211145836700,STAR,148.28424952101824,14.976880469981818,19.9832,g
1095536701103752300,AGN,148.902955510968,10.631220944252195,17.0932,g
1095750021530104900,AGN,149.45842566735902,53.018054255320926,18.4656,i
1101525930020431700,STAR,153.85806210943738,-2.075481630200527,16.2679,r
1102324061285651200,AGN,155.85025275399414,28.947562057118176,18.37,r
1102632221053508000,SN,156.63426748585778,5.585568978101103,18.8267,z
1103147971085224400,STAR,157.9499156012249,8.87345310203662,18.5049,z
1103303711411606300,AGN,158.26546853700756,41.2684408360288,17.4071,z
1103347761234853000,SN,158.44904135656313,23.81472458749676,19.6578,i
1103624781112149700,AGN,159.10328379641768,11.363824153561868,20.3876,i
1104556481052656200,AGN,161.48536157545135,5.448949057687197,19.4734,r
1105040821391735600,AGN,162.67011856491763,39.293239127456644,18.3827,z
1110249841525012600,AGN,165.7076869092084,52.83685264188018,17.9506,z
1111014881363731800,AGN,167.56202609938205,36.62551221879273,18.5288,z
1112619431084650600,STAR,171.58099571905268,8.780727562637153,22.3552,r
1114256401042147400,AGN,175.7350201863269,4.3631766997081405,19.1923,z
