NNo,GCVS,RA,Dec,RA (hourangle),Type,Max,Min I,Min II,,Epoch,Year,Period,M-m,Spectrum,References,Other desig. p.m.(as/yr),,Epoch,,Ident.,New type,GCVS,
780489,V0489 Tau *,54.9279583,23.90775,3.661863887,UV,14.2,20.5,,U,,,,,,10031 06395,,,1998.752,,2MASS,,V0489 Tau,
780256,KW    Tau *,55.0403333,23.1757778,3.669355553,UV,14.1,20.7,,U,,,,,,05606 10031,,,1998.752,,2MASS,,KW    Tau,
780252,KS    Tau *,55.0454583,26.1113889,3.66969722,UV,14.4,20.9,,U,,,,,,05606 10031,,,1999.861,,2MASS,,KS    Tau,
780607,V0607 Tau *,55.1810833,22.2519722,3.678738887,UV,15,20.5,,p,,,,,,06893 10031,,,1998.752,,2MASS,,V0607 Tau,
370026,SZ    For,55.3330417,-26.6059722,3.688869447,UG,18.2,20.8,,p,,,,,,04033 04033,,,1983.335,,A2.0,,SZ    For,
780609,V0609 Tau *,55.4605833,22.9215833,3.69737222,UV,15.8,21,,p,,,,,,06893 10031,,,1998.752,,2MASS,,V0609 Tau,
430099,BV    Hyi,55.532,-71.8590833,3.702133333,RR,19.63,20.29,,B,,,,,,72082 72082,,,1980.379,,A2.0,,BV    Hyi,
780611,V0611 Tau *,55.63,24.8226667,3.708666667,UV,16.3,20.5,,p,,,,,,06893 10031,,,1999.842,,2MASS,,V0611 Tau,
780510,V0510 Tau *,55.8272083,23.5692222,3.721813887,UV,14.2,20.5,,U,,,,,,06397 10031,,,1998.752,,2MASS,,V0510 Tau,
780619,V0619 Tau *,55.8591667,26.0419167,3.723944447,UV,15.5,20.7,,p,,,,,,10031 10031,,,1999.899,,2MASS,,V0619 Tau,
780276,MN    Tau *,55.902375,23.2095278,3.726825,UV,15.3,20.6,,U,,,,,,03924 10031,,-0.023,2000,,2MASS+pm,,MN    Tau,
780847,V0847 Tau,55.965625,24.2378056,3.731041667,UV,15,20.4,,p,,,,,,68239 68236,,,2000.732,,2MASS,,V0847 Tau,
780741,V0741 Tau *,55.9967083,22.5726111,3.733113887,UV,16.1,20.5,,p,,,,,,08560 10031,,,1998.859,,2MASS,,V0741 Tau,
780701,V0701 Tau *,56.0082083,21.9520556,3.733880553,UG,15,21,,p,,,,,,07484 07484,,,1990.8,,B1.0,,V0701 Tau,
780742,V0742 Tau *,56.13775,25.7527222,3.742516667,UV,14.1,20.1,,U,,,,,,10031 10031,,,1999.902,,2MASS,,V0742 Tau,
780298,NW    Tau *,56.1971667,24.0105278,3.74647778,UV,17.5,20.2,,U,,,,,M,03924 10031,,,1999.962,,2MASS,,NW    Tau,
