id	other_designation	detection_list_id	ra_psf	dec_psf	observation_status	sherlockClassification
1230311451144139200	NULL	1	345.7977251333881	14.694236040598994	Ia	SN
1004010130102625700	NULL	1	10.042238491762998	-10.440488423426983	Ia	SN
1234743371272546300	NULL	1	356.9307362751785	27.429535072843294	II	SN
1205729001115214500	NULL	1	314.37086366142296	11.870721781072557	Ia	SN
1181255321641838300	NULL	1	273.2305138443216	64.31065739819023	Ia	SN
1211322640303157900	NULL	1	318.3443678011956	-30.53277371248134	Ia	SN
1234135141034330200	NULL	1	355.39644556082936	3.7250820151432555	II	SN
1001246931044034000	NULL	1	3.1955804753493475	4.676115041168738	II-P	SN
1234457971032340200	NULL	1	356.24156448034256	3.3945237897969487	Ia	SN
1031116091154258300	NULL	1	47.81705616749272	15.716216719657483	Ia	UNCLEAR
1003019050014146800	NULL	1	7.579396727145106	-1.6963428545217778	II	SN
1031716150150257200	NULL	1	49.3173045291151	-15.04923004773715	IIn	SN
1234752951070456000	NULL	1	356.9706505980703	7.082234726474839	Ia	SN
1013335101303600300	NULL	1	23.396281422502405	30.600095074096778	impostor	VS
1024049250230250500	NULL	1	40.205215426755984	-23.047369341205577	Ia	SN
1043633870275610800	NULL	1	69.14116572392537	-27.93633688291375	Ia	SN
1031050220002140400	NULL	1	47.709278056650305	-0.36123840715574407	II	SN
1085357611171937700	NULL	1	133.49004614642854	17.327150492025954	Ia	SN
1054749971580722400	NULL	1	86.95822075858702	58.12290917672289	Ia	SN
1134709700205807300	NULL	1	206.79041808592694	-20.9687026621854	II	SN
1131932991163840800	NULL	1	199.88749672717233	16.644670633794334	Ia	SN
1075526121524818000	NULL	1	118.85887395558558	52.80500089516556	IIb	SN
1033239181014312500	NULL	1	53.163253318419024	1.7201600700528885	II	SN
1084655521515313900	NULL	1	131.73135566039198	51.88721701795627	IIn	SN
1092059881531931400	NULL	1	140.24951174622635	53.32539601332715	Ia	SN
1121848721142443400	NULL	1	184.703028576635	14.41207784583895	Ic	SN
1111742330211439700	NULL	1	169.4264145141318	-21.244376538641852	Ia	SN
1114843960175542900	NULL	1	177.183173537645	-17.928602595880474	Ia	ORPHAN
1045048610142522900	NULL	1	72.70254462859306	-14.423030206529392	Ia	UNCLEAR
1105411700150130200	NULL	1	163.54875224249767	-15.025058623134907	II	SN
1084721081731313100	NULL	1	131.8378426456185	73.22031364842515	II	SN
1114906200094333700	NULL	1	177.27584277299619	-9.726045797449451	II	SN
1121036851184935400	NULL	1	182.6535650121077	18.82650655967818	Ia	SN
1120733891181744400	NULL	1	181.89124261593972	18.29568409978383	Ia	SN
1144654791234127000	NULL	1	221.7283007466291	23.69084147727672	II	SN
1150244810281940300	NULL	1	225.68672314463313	-28.32788530164365	Ia	SN
1154017810271348700	NULL	1	235.07424799442134	-27.230207127923585	II	SN
1152550130250252600	NULL	1	231.45891479991778	-25.04796876157297	Ia	SN
1032106230071657400	NULL	1	50.275966955584245	-7.2826185840832665	IIb	SN
1130554261085655200	NULL	1	196.47609838932223	8.94866937150097	Ia	SN
1130745121161405000	NULL	1	196.93803164829657	16.234735092449235	Ia	SN
1111643160164504900	NULL	1	169.17985671262997	-16.75138601152783	Ia	ORPHAN
1090730560095808700	NULL	1	136.87734953311204	-9.969100370070525	Ib	ORPHAN
1114331480105317500	NULL	1	175.8812059076296	-10.888220669162365	Ia	UNCLEAR
1083607450002928300	NULL	1	129.03105808344378	-0.4912211532079051	II	SN
1162442561071055400	NULL	1	246.17736347731153	7.18207925595111	II	SN
1144128441092558700	NULL	1	220.3685145622892	9.432999403821334	Ia	SN
1101713150210357100	NULL	1	154.30481503323819	-21.06586769841435	II	SN
1102908360170650000	NULL	1	157.284843150952	-17.113912392790244	Ia	SN
1124653341144750000	NULL	1	191.7222857752333	14.79724817907259	Ia	SN
1122741390225718700	NULL	1	186.92248768494207	-22.95520567192722	Ic	SN
1121011290221041500	NULL	1	182.5470826744317	-22.178221227938145	Ia	VS
1143954111541119100	NULL	1	219.97549595923658	54.18865791909401	Ia	SN
1121045471484146600	NULL	1	182.68946002292643	48.696294904184306	II	SN
1133241280203625200	NULL	1	203.17203851018752	-20.60700150990584	Ia	SN
1125700190155445400	NULL	1	194.2508053642028	-15.912623578924485	Ia	SN
1113228390084623200	NULL	1	173.11830561715007	-8.773117545796264	II	SN
1095808071075750300	NULL	1	149.53365742300372	7.963988505259277	Ia	SN
1104151411164901100	NULL	1	160.46421866804363	16.816974273509924	Ia	SN
1074844051543640500	NULL	1	117.18355249043735	54.61125075560154	Ia	SN
1165257631022336500	NULL	1	253.24014134041136	2.3934940432760268	Ia	SN
1160220351051240300	NULL	1	240.5847953859881	5.211196169156718	Ia	SN
1174412251503304600	NULL	1	266.05104842861846	50.55128930854956	Ia	SN
1121857711471811300	NULL	1	184.74047382857648	47.30315969434235	SN	SN
1092142021165042600	NULL	1	140.42508692454024	16.84517684570584	Ia	SN
1140203581095551000	NULL	1	210.51495627063258	9.930854481804097	II	SN
1022820381102303800	NULL	1	37.0849194292541	10.384392348873652	Ia	SN
